,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
22,18,63bedd244287630828df077b,2023-01-11T16:00:36.663Z,innov8tor3#3988,BiancaGadelha#2667,for ours coordination call today 🕊️,63b5a2af4287630828df06b9,0.0,0.0,0.0,pat.zip (TE Academy)#5266,lee0007#8152,divine_comedian#5493,eduardovegap#0422,1.88,5,False,for ours coordination call today 🕊️
23,19,63bedd244287630828df0782,2023-01-11T16:00:36.908Z,JHennyArt#2106,BiancaGadelha#2667,for ours coordination call today 🕊️,63b5a2af4287630828df06c0,0.0,0.0,0.0,pat.zip (TE Academy)#5266,lee0007#8152,divine_comedian#5493,eduardovegap#0422,1.38,5,False,for ours coordination call today 🕊️
25,21,63bedd264287630828df0791,2023-01-11T16:00:38.200Z,Nikola Creatrix#5026,BiancaGadelha#2667,for ours coordination call today 🕊️,63b5a2b24287630828df06c8,0.0,0.0,0.0,pat.zip (TE Academy)#5266,lee0007#8152,divine_comedian#5493,eduardovegap#0422,1.88,5,False,for ours coordination call today 🕊️
