USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,63.45325990216816,0.0,0.0,0.0,63.45325990216816
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,48.14756448334214,0.0,0.0,0.0,48.14756448334214
bear100,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,39.14873853358011,5.073853963235294,61.0,0.0,44.2225924968154
eenti,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,28.61165173770492,0.0,0.0,0.0,28.61165173770492
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,20.612695337916435,0.0,0.0,0.0,20.612695337916435
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,17.689999730301402,0.0,0.0,0.0,17.689999730301402
nuggan,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,0.0,5.489743632352941,66.0,4.848085,10.337828632352942
gideonro#0,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,9.614130288207292,0.0,0.0,0.0,9.614130288207292
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,8.84499986515072,0.0,0.0,0.0,8.84499986515072
EFRA#7972,0x438cddcc8e6f0e0e18ce33f6b5a8ffcfab5a999c,7.61439118826018,0.0,0.0,0.0,7.61439118826018
JHennyArt#2106,0xec3de6e05f3c5a0b8304488be1f114ed0104e10d,5.845391215230036,0.0,0.0,0.0,5.845391215230036
akrtws#4246,0xa26d6aeb775a9528c012b748ace66e3b0fd574ce,5.845391215230035,0.0,0.0,0.0,5.845391215230035
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,5.61465208831306,0.0,0.0,0.0,5.61465208831306
makkiyzy,0x8c55acd4477e1ef76401e7ff5fd3eb37925d29c3,0.0,5.406565698529412,65.0,0.0,5.406565698529412
missing username,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,0.0,0.0,4.848085,4.848085
"sem(🌸,🐝)#0161",0x970f31ffc1429c75b0bc56c42e92a58198e858cf,4.614782538339495,0.0,0.0,0.0,4.614782538339495
curiousrabbit.eth#0790,missing user address,4.230217326811203,0.0,0.0,0.0,4.230217326811203
PhilH#1102,0xaa01dec5307cf17f20881a3286dcaa062578cea7,3.845652115282926,0.0,0.0,0.0,3.845652115282926
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,3.845652115282926,0.0,0.0,0.0,3.845652115282926
acidlazzer,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,0.0,3.6598290882352944,44.0,0.0,3.6598290882352944
zaremba_ax,missing user address,3.6149129883659508,0.0,0.0,0.0,3.6149129883659508
divine_comedian,0x320c338bcf70baaae26e96201c33b48105bc62c2,0.0,2.994405617647059,36.0,0.0,2.994405617647059
0xBlockBoy  🏴#8972,missing user address,2.3843043114754088,0.0,0.0,0.0,2.3843043114754088
roro#1166,0x792f7327beeecb1638fcdb97d57ed710829465e2,1.9997390999471183,0.0,0.0,0.0,1.9997390999471183
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,1.8459130153358008,0.0,0.0,0.0,1.8459130153358008
JessicaZartler#2263,0xb2821c0df0c414ff51d3e8033cba26df6aac587b,1.8459130153358008,0.0,0.0,0.0,1.8459130153358008
r33pich33p#0,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,1.6151738884188258,0.0,0.0,0.0,1.6151738884188258
