,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
0,26,621f79e243b89009366c8ceb,2021-09-01T22:00:00.000Z,elessar.eth#7945,Griff 🔥AFK till Sept 15🔥#8888,"for EVM Crispr, an amazing tool",False,True,False,False,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,38.0,144.0,False,"for EVM Crispr, an amazing tool"
1,47,621f79e243b89009366c8d00,2021-09-02T22:00:00.000Z,iviangita#3204,iviangita#3204,"for all the incredible behind-the-scenes work and all the little things she’s constantly doing in the back office helping with Twitter, the board and work agreements",True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,42.0,144.0,False,"for all the incredible behind-the-scenes work and all the little things she’s constantly doing in the back office helping with Twitter, the board and work agreements"
31,25,621f79e243b89009366c8cea,2021-09-01T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for their brazilian hacking skills on the CCD,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,39.25,89.0,False,for their brazilian hacking skills on the CCD
32,36,621f79e243b89009366c8cf5,2021-09-01T22:00:00.000Z,divine_comedian#5493,divine_comedian#5493,"for design, development, ideation and copywriting support on the CCD",True,False,False,False,innov8tor3#3988,liviade#1387,Maxwe11#7157,hanners717#2022,39.25,89.0,False,"for design, development, ideation and copywriting support on the CCD"
33,953,621f79e243b89009366c9108,2021-09-21T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for drafting the first transparency budget,False,False,True,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,28.25,89.0,False,for drafting the first transparency budget
133,383,621f79e243b89009366c8e5b,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for working super hard on the CCD’s development  🦾,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6.88,55.0,False,for working super hard on the CCD’s development  🦾
134,491,621f79e243b89009366c8ed3,2021-09-09T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for hacking in person on the CCD,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6.88,55.0,False,for hacking in person on the CCD
135,394,621f79e243b89009366c8e66,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for their work with the CCD 🔥,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,4.88,55.0,False,for their work with the CCD 🔥
136,166,621f79e243b89009366c8d82,2021-09-02T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for his work in the CCD,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,4.88,55.0,False,for his work in the CCD
137,1110,621f79e243b89009366c91af,2021-09-23T22:00:00.000Z,iviangita#3204,iviangita#3204,for great Twitter work,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,4.88,55.0,False,for great Twitter work
138,388,621f79e243b89009366c8e60,2021-09-09T22:00:00.000Z,pKrepe#5682,Mount Manu#3530,for working on software development for the CCD 🤖,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6.88,55.0,False,for working on software development for the CCD 🤖
139,399,621f79e243b89009366c8e6b,2021-09-09T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for their work with the CCD 🔥,True,False,False,False,innov8tor3#3988,liviade#1387,bends#3537,hanners717#2022,19.2,55.0,False,for their work with the CCD 🔥
