IDENTITY,AMOUNT,%,TOKEN TO RECEIVE
0x84fe77cbddac307bc3822728b7af2f758de71f12,1346,0.04748465391942426,47.48465391942426
0x308d8013ecd9b1bf4bf8ad738108db7843d5f996,3778,0.13328159175897833,133.28159175897832
0x32bab6b05fafe94bafcac1f382e1a0e4fcb0ed55,192,0.0067734424610174275,6.773442461017428
0xd53820f064f278a716cadda984f35c6376e95f0d,813,0.02868129542087067,28.681295420870672
0xef94b7df082ab3d8ead1c3270d2d8fd178e42930,55,0.001940309038312284,1.940309038312284
0x3b4a2b92877558ea13491a82ec58bc13d06fd020,19,0.0006702885768715163,0.6702885768715162
0x8e691b2b7883ac5315a61a2077558f1c40a76d57,308,0.010865730614548789,10.86573061454879
0xe15451e9212ee6d6151a51bc98b8e341b8576e0f,17,0.0005997318845692514,0.5997318845692514
0xd18a5938b5eb73b86dcd110c95726a6b40a44fda,1360,0.04797855076554011,47.97855076554011
0x5ca759eba225f3ac4401041e9e663182c3157415,2266,0.07994073237846609,79.9407323784661
0x90f974209ccf34f7a18da41240f93494dc9ea84b,810,0.028575460382417272,28.575460382417273
0x4fbf92147194df12c1355b1cb8e4d5cde9d6a1a,212,0.007479009384040076,7.479009384040076
0xb53f3b54f2a62cdadef346e747b82aeb1679c793,120,0.004233401538135892,4.233401538135892
0x919d6f31569b4a8403dc7f06b4917839dccc2a4e,24,0.0008466803076271784,0.8466803076271785
0x1c8f58d95a03c8471b7fc5d5dc1f74f823c139dc,19,0.0006702885768715163,0.6702885768715162
0x7788f560a5e5cbe6e9283f44944a272416dbb1fe,66,0.0023283708459747405,2.3283708459747405
0xe68c28009de3a327617bae3589f2d51d21cde95a,423,0.01492274042192902,14.922740421929019
0x6b1ecbad90d4d55827fa2e5eba6c7854788c6273,446,0.015734142383405068,15.734142383405068
0x20c7246e99ce3ab62764bbff96604fa431943706,171,0.006032597191843647,6.032597191843647
0x175f629a204bf92143b9112c67dd9df1b83dda57,318,0.011218514076060114,11.218514076060114
0x1d66469c78176c5922404239ac2a7828695ef8a7,660,0.023283708459747407,23.283708459747405
0x38b296f81235300d216e7c431def002c901fef7,26,0.0009172369999294433,0.9172369999294433
0xa28271dfb2a9e42a59815dc8f2872662dfbe6d8f,124,0.004374514922740422,4.374514922740421
0xc8618a781b4ed1933230a97ee14f5b70633b3af0,683,0.02409511042122345,24.095110421223453
0x6ae6740c5a0b6bf23c9966c4809132a594967330,147,0.005185916884216468,5.185916884216468
0xd11c3b7caec5d353e07c388fe4b3f5c2774fc986,1488,0.05249417907288506,52.49417907288506
0xfeda8415dcafd01065ffcb7260d6b06f4dccf704,167,0.005891483807239117,5.891483807239117
0x9e87c6a119fb4006f1468cdc81f2e08059821435,246,0.008678473153178578,8.678473153178578
0x70af18b41d4a495fc0b1f7215fac9c63c021ffd8,12,0.0004233401538135892,0.42334015381358925
0x7a84f11519b6eba83871be9cca94e6ede9959642,130,0.004586184999647217,4.586184999647217
0x77c11f953553cf4c15411553801232a4af034a63,1196,0.04219290199675439,42.192901996754394
0x72b7de59bdc68afa72dc329c13b88a779bea294d,116,0.0040922881535313625,4.092288153531363
0x3959aa05e1fbe32790d742756785d667c143d881,23,0.000811401961476046,0.811401961476046
0x76a9c6b333d7cef2eec3bfb382f39baa7701c5b1,496,0.017498059690961687,17.498059690961686
0x5156448c6e1a28a3f81cc5d319c72f2cfb491791,919,0.03242080011289071,32.42080011289071
0xb36f639fa3d45db89bf09d04e60c472271c84b32,539,0.019015028575460384,19.015028575460384
0x514a5a6e50f8d39ef092bef5b4ad7ccda205d0c2,1058,0.03732449022789812,37.32449022789812
0xfc7da09a16ba62e17c8e34229844739acd656555,14,0.0004938968461158541,0.4938968461158541
0xc05d2a74ce3d92f2b1e3d90480f1396511ba4309,404,0.014252451845057504,14.252451845057504
0xf0c36836f4a73d5ae64a57aef26a1498297cd16e,699,0.024659563959641573,24.659563959641574
0x86f192cfad93199331be44e951a48deab156697e,396,0.013970225075848445,13.970225075848445
0x45cc8b3ed8d57f715c2c3feafdb024bf23997fb8,444,0.0156635856911028,15.663585691102801
0x260a364c0016a6cb724a858384a2f68aa2ad3591,4152,0.14647569321950188,146.4756932195019
0x52413fcbfbc8a36ab7a85b399c003ba19232f439,44,0.0015522472306498272,1.5522472306498272
0xce43ab2cb7855384611a054ac394163ae2f152a6,493,0.01739222465250829,17.392224652508293
0xde2d98b5ca35cd7140c262c19f3346a96060427c,72,0.0025400409228815354,2.5400409228815355
0x8fd4cecb1b899da27c2c95a944fe09905d322b3e,108,0.003810061384322303,3.810061384322303
0xb98bc7c6ad9346c91551ea1ff43a242e76d7150d,283,0.00998377196077048,9.98377196077048
0x17c71bcc68b9ba9a419d91f79d373ad3ed0506b7,200,0.007055669230226487,7.055669230226487
0xcffacd338441bb19457aec78f50592c3aed49008,244,0.008607916460876315,8.607916460876314
