id,date,to user account,to user account id,to eth address,from user account,from user account id,from eth address,reason,source id,source name,score 1,score 2,score 3,score 4,duplicate id 1,duplicate id 2,duplicate id 3,duplicate id 4,dismissed 1,dismissed 2,dismissed 3,dismissed 4,quantifier 1 username,quantifier 1 eth address,quantifier 2 username,quantifier 2 eth address,quantifier 3 username,quantifier 3 eth address,quantifier 4 username,quantifier 4 eth address,avg score
646656f4ee603525d080eee7,2023-05-18T16:48:52.828Z,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,natesuits#4789,621f79cf95a79aa51435b2f7,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,"for his leadership these past few weeks, owning the sprint planning process, and for executing on our first ever grant rounds.",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,5,0,34,,,6463b058ee603525d080ee6a,,false,false,false,false,tamarandom,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,divine_comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,13
646656feee603525d080eef6,2023-05-18T16:49:02.543Z,Marathonmind#3078,63b5e810ef905c1d9bee86a0,0x721bA19c32051Fd8e851a74958C52936516c7fDC,JHennyArt#2106,63b5a2afef905c1d9bee6819,0xeC3de6e05F3c5A0b8304488Be1f114ED0104e10D,for producing content in a timely manner and helping with comms related effects,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,21,5,13,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,nuggan,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,9.75
64665701ee603525d080ef05,2023-05-18T16:49:05.293Z,karmaticacid#1218,621f79ce95a79aa51435b26f,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for all the interest and chat about QF! I've actually enjoyed chatting about sybil resistance :),DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,3,13,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,6
64665723ee603525d080ef14,2023-05-18T16:49:39.358Z,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for all his leadership and guidance through pretty much every single corner of the TEC,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,13,5,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,9.75
64665725ee603525d080ef23,2023-05-18T16:49:41.198Z,Tamarandom#9361,621f79ce95a79aa51435b225,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,for providing Isaac with support as we think through our Agile methodology and overall project management process,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,8,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,9.25
64665748ee603525d080ef37,2023-05-18T16:50:16.867Z,Tamarandom#9361,621f79ce95a79aa51435b225,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for being so down to spend all this time with me to get better processes up to manage projects and deliver work on the commons,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,13,8,34,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,13.75
6466574bee603525d080ef46,2023-05-18T16:50:19.243Z,liviade#1387,621f79ce95a79aa51435b227,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,gideonro#0,621f79d595a79aa51435c5ff,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,for pulling together an excellent first draft of a grant proposal to Optimism for moving the TEC over the OP,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,8,5,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,8.5
64665760ee603525d080ef55,2023-05-18T16:50:40.375Z,"Griff (💜,💜)#8888",621f79ce95a79aa51435b223,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for always joining the meetings and being so caring about all of us,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,8,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,8.5
64665761ee603525d080ef5c,2023-05-18T16:50:41.159Z,Juankbell#7458,621f79ce95a79aa51435b20b,0x7d547666209755FB833f9B37EebEa38eBF513Abb,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for always joining the meetings and being so caring about all of us,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,5,13,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,5.75
64665762ee603525d080ef63,2023-05-18T16:50:42.252Z,Tamarandom#9361,621f79ce95a79aa51435b225,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Isaac (enti)#1546,6220d93f95a79aa51436be5e,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,for always joining the meetings and being so caring about all of us,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,5,21,,,,,false,false,false,false,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,makkiyzy,0x8C55ACD4477e1eF76401E7FF5FD3eb37925d29C3,acidlazzer,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,r33pich33p,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,7.75
