USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,210.376987888942,15.819652389819987,143.0,0.0,226.196640278762
Griff 🔥AFK till Sept 15🔥#8888,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,204.79747255142416,0.0,0.0,0.0,204.79747255142416
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,170.64942615028636,0.0,0.0,0.0,170.64942615028636
"sem(🌸,🐝)#0161",0x970f31ffc1429c75b0bc56c42e92a58198e858cf,146.94657550532463,0.0,0.0,0.0,146.94657550532463
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,110.28118900163582,8.186393544382371,74.0,0.0,118.46758254601819
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,98.88253176373202,0.0,0.0,9.5475,108.43003176373202
karmaticacid | AFK til Sept 12#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,102.56521367728358,0.0,0.0,0.0,102.56521367728358
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,82.91331313722858,0.0,0.0,0.0,82.91331313722858
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,72.69513201955913,0.0,0.0,0.0,72.69513201955913
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,71.86526739657387,0.0,0.0,0.0,71.86526739657387
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,62.01283208538727,0.0,0.0,9.5475,71.56033208538727
Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,70.71001512506248,0.0,0.0,0.0,70.71001512506248
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,50.616697232355754,17.700310366232156,160.0,0.0,68.3170075985879
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,58.02241921741563,0.0,0.0,0.0,58.02241921741563
anna-marie#8824,0x8041748a2a16e9b7a3980107f4376774421642c8,56.74357008716176,0.0,0.0,0.0,56.74357008716176
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,35.68165640349352,20.908491620111732,189.0,0.0,56.59014802360525
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,56.28449604040396,0.0,0.0,0.0,56.28449604040396
VitorNunes#0090,missing user address,43.81130284690224,0.0,0.0,0.0,43.81130284690224
Alp#3768,0x269ceb186ae90b062cff495465b1eb7fc2fee9fd,41.28387320486205,0.0,0.0,0.0,41.28387320486205
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,27.920278151439966,0.0,0.0,9.5475,37.467778151439965
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,33.46448010074569,0.0,0.0,0.0,33.46448010074569
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,31.552512367545628,0.0,0.0,0.0,31.552512367545628
DanKnobelsdorf#0326,0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3,31.544945212928745,0.0,0.0,0.0,31.544945212928745
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,28.376829813325475,0.0,0.0,0.0,28.376829813325475
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,27.998472082481133,0.0,0.0,0.0,27.998472082481133
