,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DUPLICATION AGREED,ORIGINAL MSG
26,6282bfd390ff2413f6a06a8d,2022-05-16T21:19:15.158Z,BiancaGadelha#2667,AnnAnna#4694,,0,0,0,62829ef790ff2413f6a06a74,tigeroid#2951,boonjue.eth#7124,zhiwei#1356,osycross(🦎🦎)#5943,14.07,False,
58,6286815e90ff2413f6a06b45,2022-05-19T17:41:50.026Z,Gaian#8075,Zeptimus#3359,,0,628fbde190ff2413f6a06f9e,0,0,AmwFund#0979,innov8tor3#3988,teaci#6108,Usua◎ Silver#2618,9.8,False,
59,628681a090ff2413f6a06b4c,2022-05-19T17:42:56.079Z,GideonRo#3175,Zeptimus#3359,,0,62867f1990ff2413f6a06b18,62867f1990ff2413f6a06b18,0,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,6.13,False,
72,628682cd90ff2413f6a06ba1,2022-05-19T17:47:57.462Z,Mert Ozd#6679,divine_comedian#5493,,0,628e99ae90ff2413f6a06f48,0,0,pat.zip (TE Academy)#5266,innov8tor3#3988,zhiwei#1356,osycross(🦎🦎)#5943,15.35,False,
98,6286857990ff2413f6a06c41,2022-05-19T17:59:21.767Z,Tam2140#9361,liviade#1387,,62823d4a90ff2413f6a06a08,62823d4a90ff2413f6a06a08,0,0,AmwFund#0979,boonjue.eth#7124,zhiwei#1356,osycross(🦎🦎)#5943,11.05,False,
100,628685b090ff2413f6a06c4f,2022-05-19T18:00:16.570Z,Letty#5399,nic#9212,,0,6286855d90ff2413f6a06c3a,0,0,AmwFund#0979,innov8tor3#3988,zhiwei#1356,osycross(🦎🦎)#5943,10.28,False,
103,6286867b90ff2413f6a06c64,2022-05-19T18:03:39.575Z,GideonRo#3175,karmaticacid#1218,,0,6286834590ff2413f6a06bdb,6286834590ff2413f6a06bdb,0,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,9.94,False,
105,628686a890ff2413f6a06c72,2022-05-19T18:04:24.132Z,GideonRo#3175,Mert Ozd#6679,,0,6286834590ff2413f6a06bdb,62867f1990ff2413f6a06b18,0,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,9.51,False,
108,628686e690ff2413f6a06c87,2022-05-19T18:05:26.255Z,eduardovegap#0422,karmaticacid#1218,,6286869d90ff2413f6a06c6b,0,6286869d90ff2413f6a06c6b,0,AmwFund#0979,Vyvy-vi#5040,liviade#1387,osycross(🦎🦎)#5943,3.1,False,
116,6286877190ff2413f6a06cbc,2022-05-19T18:07:45.486Z,Mount Manu#3530,karmaticacid#1218,,6286831390ff2413f6a06bc5,6286831390ff2413f6a06bc5,6286831390ff2413f6a06bc5,0,pat.zip (TE Academy)#5266,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,11.98,False,
