TO,FROM,REASON,SERVER,DATE,CHANNEL
Suga#8514,Vyvy-vi#5040,for making edits in the welcome text ,Token Engineering Commons,Jul-12-2021,🙏praise
Vyvy-vi#5040,Suga#8514,for making edits in the welcome text. ,Token Engineering Commons,Jul-12-2021,🙏praise
acidlazzer#5796,Juankbell#7458,for offering to help us improve some designs for Gravity 🙂 super appreciated your contribution 🙂 ,Token Engineering Commons,Jul-12-2021,🙏praise
chuygarcia92#6692,CMD Burrito#2759,for invite me to play some music ,Token Engineering Commons,Jul-12-2021,🙏praise
David (please DYOR...)#4116,Kris#8703,@David (please DYOR...) for digging into praise! ,Commons Stack,Jul-12-2021,🙌praise
Ekeneodigwe#1502,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,Kris#8703,for her insights (from David) ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
Kris#8703,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,JeffEmmett#7202,for revolutionizing the Commons Stack comms & distribution processes - LOVE seeing all our content hitting home with our audience! ,Commons Stack,Jul-12-2021,🙌praise
JeffEmmett#7202,Kris#8703,for praisemageddon (from David) ,Commons Stack,Jul-12-2021,🙌praise
Ekeneodigwe#1502,JessicaZartler#2263,for running faster than I can keep up with! haha Amazing work in your first 6 weeks - we are so lucky to have you on the team! ,Commons Stack,Jul-12-2021,🙌praise
Kris#8703,JessicaZartler#2263,for supporting me the last few weeks in Comms and onboarding Ekene ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JessicaZartler#2263,for supporting me the last few weeks in Comms and onboarding Ekene ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,liviade#1387,@Dan Knobelsdorf.eth for taking care of the Trusted Seed garden so well 🌱 ,Commons Stack,Jul-12-2021,🙌praise
Revathi#5324,Kris#8703,"for checking into joining our next AMA to chat about Regen, and coordinating comms and schedules ",Commons Stack,Jul-12-2021,🙌praise
davidhq#6023,griff#3281,"for his incredible work on Zetaseek, a web3 asearch engine https://zetaseek.com/?q=ostrom ",Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
James | NEAR#0357,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
Renzo D5#3503,Tam2140#9361,@James | NEAR @Renzo D5 for their governauts initiative to move the needle on decentralied governance ,Commons Stack,Jul-12-2021,🙌praise
iviangita#3204,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
hanners717#2022,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
griff#3281,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,JessicaZartler#2263,for all their work on improving the contributor management process! ,Commons Stack,Jul-12-2021,🙌praise
mikaelseppala#6132,JeffEmmett#7202,for the funny memes & his expertise on complex systems! ,Commons Stack,Jul-12-2021,🙌praise
Vyvy-vi#5040,Kris#8703,and for their changes to the praise bot that helped facilitate the praise and impact hour audit as well as the information to support the recent praise interventions ,Commons Stack,Jul-12-2021,🙌praise
rdfbbx#6437,Kris#8703,and for their changes to the praise bot that helped facilitate the praise and impact hour audit as well as the information to support the recent praise interventions ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
liviade#1387,JessicaZartler#2263,@Dan Knobelsdorf.eth for the discussion on Organization Development last week ,Commons Stack,Jul-12-2021,🙌praise
Amin#2164,Tam2140#9361,for all the support you provide on the swiss membership dApp and always being so responsive ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,JessicaZartler#2263,for supporting continuing organization of Org Dev ideas and processes ,Commons Stack,Jul-12-2021,🙌praise
kristofer#1475,JessicaZartler#2263,@Dan Knobelsdorf.eth for leading the TS dashboard project - amazing work so far! ,Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,JessicaZartler#2263,@Dan Knobelsdorf.eth for leading the TS dashboard project - amazing work so far! ,Commons Stack,Jul-12-2021,🙌praise
MehighCB#4516,JessicaZartler#2263,for volunteering to support CS grant initiatives ,Commons Stack,Jul-12-2021,🙌praise
JeffEmmett#7202,Dan Knobelsdorf.eth#0326,for always having an incredibly amazing chart or spreadsheet that adds deep level insights. 🧮 ,Commons Stack,Jul-12-2021,🙌praise
JessicaZartler#2263,liviade#1387,for an insightful woman circle to deepen our connections and ground ourselves. ,Commons Stack,Jul-12-2021,🙌praise
Tam2140#9361,liviade#1387,for an insightful woman circle to deepen our connections and ground ourselves. ,Commons Stack,Jul-12-2021,🙌praise
nathalia#0926,liviade#1387,for an insightful woman circle to deepen our connections and ground ourselves. ,Commons Stack,Jul-12-2021,🙌praise
karmaticacid#1218,liviade#1387,for an insightful woman circle to deepen our connections and ground ourselves. ,Commons Stack,Jul-12-2021,🙌praise
Suga#8514,liviade#1387,for an insightful woman circle to deepen our connections and ground ourselves. ,Commons Stack,Jul-12-2021,🙌praise
chuygarcia92#6692,Kris#8703,for their help with praisemergency! ,Commons Stack,Jul-12-2021,🙌praise
Juankbell#7458,Kris#8703,for their help with praisemergency! ,Commons Stack,Jul-12-2021,🙌praise
geleeroyale#3228,Kris#8703,for their help with praisemergency! ,Commons Stack,Jul-12-2021,🙌praise
Suga#8514,Kris#8703,for their help with praisemergency! ,Commons Stack,Jul-12-2021,🙌praise
Zeptimus#3359,Kris#8703,for their help with praisemergency! ,Commons Stack,Jul-12-2021,🙌praise
JeffEmmett#7202,Tam2140#9361,for their collaboration on the TEC IH distribution based on the two highest voted but highly polarized proposals. ,Commons Stack,Jul-12-2021,🙌praise
griff#3281,Tam2140#9361,for their collaboration on the TEC IH distribution based on the two highest voted but highly polarized proposals. ,Commons Stack,Jul-12-2021,🙌praise
pavl#1561,Dan Knobelsdorf.eth#0326,for the detailed report on the Trusted Seed membership DApp's bug. 🪲 ,Commons Stack,Jul-12-2021,🙌praise
ZER8🧠#9093,Dan Knobelsdorf.eth#0326,and for also reporting the membership DApp's bug! 🕷 ,Commons Stack,Jul-12-2021,🙌praise
AnnAnna#4694,Dan Knobelsdorf.eth#0326,and for also reporting the membership DApp's bug! 🕷 ,Commons Stack,Jul-12-2021,🙌praise
ZER8🧠#9093,JeffEmmett#7202,"(and so many more who are not yet in our discord!) for asking all the right questions on twitter, providing links & helping each other to learn as we all travel down the rabbit hole of web3 knowledge together 🙏 ",Commons Stack,Jul-12-2021,🙌praise
Cryptainist#8427,JeffEmmett#7202,"(and so many more who are not yet in our discord!) for asking all the right questions on twitter, providing links & helping each other to learn as we all travel down the rabbit hole of web3 knowledge together 🙏 ",Commons Stack,Jul-12-2021,🙌praise
Atotsm#5719,JeffEmmett#7202,"(and so many more who are not yet in our discord!) for asking all the right questions on twitter, providing links & helping each other to learn as we all travel down the rabbit hole of web3 knowledge together 🙏 ",Commons Stack,Jul-12-2021,🙌praise
innov8tor3#3988,JeffEmmett#7202,"(and so many more who are not yet in our discord!) for asking all the right questions on twitter, providing links & helping each other to learn as we all travel down the rabbit hole of web3 knowledge together 🙏 ",Commons Stack,Jul-12-2021,🙌praise
Dan Knobelsdorf.eth#0326,Tam2140#9361,@Dan Knobelsdorf.eth for your labor of love caring for the Trusted Seed ,Commons Stack,Jul-12-2021,🙌praise
Felipe Duarte#8100,griff#3281,@Felipe Duarte for his non-stop DAO Community building efforts. So excited for what he has built with his crew for the DAOist in Paris in just 11 days!!! ,Commons Stack,Jul-12-2021,🙌praise
kristofer#1475,Tam2140#9361,for working with the team on future iterations of the Trusted Seed dashboard. ,Commons Stack,Jul-12-2021,🙌praise
mZ#3472,JessicaZartler#2263,for systems mapping of Gitcoin DAO that will serve as a template for other DAOs/Commons and support in better understanding governance surfaces/governance flows ,Commons Stack,Jul-12-2021,🙌praise
witwiki#0518,liviade#1387,for starting a new Governing the Commons bookclub on the DAObookclub server! ,Commons Stack,Jul-12-2021,🙌praise
taxil#8577,Kris#8703,for being patient with our onboarding process - can't wait to get you on a project that you'll enjoy! ,Commons Stack,Jul-12-2021,🙌praise
geleeroyale#3228,griff#3281,for being a great Blockchain Dad... x2 !! ,Commons Stack,Jul-12-2021,🙌praise
randomshinichi#1165,JessicaZartler#2263,for always supporting with advice and working hard on system simulations ,Commons Stack,Jul-12-2021,🙌praise
Justice#8638,Kris#8703,for starting to dig into CS materials to orient himself for design assets! ,Commons Stack,Jul-12-2021,🙌praise
ZER8🧠#9093,JessicaZartler#2263,for volunteering to translate things and joining community meetings 😄 ,Commons Stack,Jul-12-2021,🙌praise
Zeptimus#3359,Dan Knobelsdorf.eth#0326,@sem  🐝 for the warmth welcome at the Giveth House in Barcelona. Commoning in real life FTW! ⚡ ,Commons Stack,Jul-12-2021,🙌praise
griff#3281,Dan Knobelsdorf.eth#0326,@sem  🐝 for the warmth welcome at the Giveth House in Barcelona. Commoning in real life FTW! ⚡ ,Commons Stack,Jul-12-2021,🙌praise
sem  🐝#0161,Dan Knobelsdorf.eth#0326,@sem  🐝 for the warmth welcome at the Giveth House in Barcelona. Commoning in real life FTW! ⚡ ,Commons Stack,Jul-12-2021,🙌praise
bettinabf#4777,griff#3281,"@bettinabf, @PhilH, and the rest of the ETH France crew for their incredible community building efforts, pulling off the best gatherings. ",Commons Stack,Jul-12-2021,🙌praise
PhilH#1102,griff#3281,"@bettinabf, @PhilH, and the rest of the ETH France crew for their incredible community building efforts, pulling off the best gatherings. ",Commons Stack,Jul-12-2021,🙌praise
markop#2007,PhilH#1102,for sharing material about TEC simulator and creating opportunities to contribute ,Token Engineering Commons,Jul-12-2021,🙏praise
divine_comedian#5493,karmaticacid#1218,"for his disputable voting CCD params forum posts, and for his help QAing my posts ",Token Engineering Commons,Jul-12-2021,🙏praise
Letty#5399,iviangita#3204,for catching the spam 🙏🏼 ,Commons Stack,Jul-13-2021,🎟general
storypup#2167,iviangita#3204,for catching the spam 🙏🏼 ,Commons Stack,Jul-13-2021,🎟general
iviangita#3204,storypup#2167,iviangita for keeping the channel bot free ,Commons Stack,Jul-13-2021,🎟general
kristofer#1475,Vyvy-vi#5040,for wrangling with the swag-shops and getting them to work ,Token Engineering Commons,Jul-13-2021,🙏praise
Tam2140#9361,Vyvy-vi#5040,@paxthemax for hacking on the swagshop issues ,Token Engineering Commons,Jul-13-2021,🙏praise
Kris#8703,Vyvy-vi#5040,@paxthemax for hacking on the swagshop issues ,Token Engineering Commons,Jul-13-2021,🙏praise
liviade#1387,griff#3281,for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄 ,Token Engineering Commons,Jul-13-2021,🙏praise
JeffEmmett#7202,griff#3281,for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄 ,Token Engineering Commons,Jul-13-2021,🙏praise
griff#3281,griff#3281,for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄 ,Token Engineering Commons,Jul-13-2021,🙏praise
eduardovegap#0422,griff#3281,for working on the List of activated Trusted Seed Addresses so we can hunt down the people wil IH ,Token Engineering Commons,Jul-13-2021,🙏praise
iviangita#3204,griff#3281,for working on the List of activated Trusted Seed Addresses so we can hunt down the people wil IH ,Token Engineering Commons,Jul-13-2021,🙏praise
AmwFund#0979,griff#3281,for working on the List of activated Trusted Seed Addresses so we can hunt down the people wil IH ,Token Engineering Commons,Jul-13-2021,🙏praise
iviangita#3204,griff#3281,for working countless hours on auditing Praise ,Token Engineering Commons,Jul-13-2021,🙏praise
Vyvy-vi#5040,griff#3281,for working countless hours on auditing Praise ,Token Engineering Commons,Jul-13-2021,🙏praise
freshelle#9882,griff#3281,for working countless hours on auditing Praise ,Token Engineering Commons,Jul-13-2021,🙏praise
Zeptimus#3359,griff#3281,for diving into the Praise audit and supporting during our 3 hour closing call ,Token Engineering Commons,Jul-13-2021,🙏praise
Juankbell#7458,griff#3281,for diving into the Praise audit and supporting during our 3 hour closing call ,Token Engineering Commons,Jul-13-2021,🙏praise
Suga#8514,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
Zeptimus#3359,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
freshelle#9882,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
iviangita#3204,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
liviade#1387,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
Juankbell#7458,griff#3281,for jumping in and observing the Praise Audit finalization ,Token Engineering Commons,Jul-13-2021,🙏praise
iviangita#3204,eduardovegap#0422,for an amazing work on the TS final list of activated members! ,Token Engineering Commons,Jul-13-2021,🙏praise
AmwFund#0979,eduardovegap#0422,for an amazing work on the TS final list of activated members! ,Token Engineering Commons,Jul-13-2021,🙏praise
natesuits#4789,Zeptimus#3359, for posting all the post recently posted so huge work! ,Token Engineering Commons,Jul-13-2021,🙏praise
divine_comedian#5493,Zeptimus#3359, for posting all the post recently posted so huge work! ,Token Engineering Commons,Jul-13-2021,🙏praise
karmaticacid#1218,Zeptimus#3359, for posting all the post recently posted so huge work! ,Token Engineering Commons,Jul-13-2021,🙏praise
acidlazzer#5796,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
chuygarcia92#6692,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Anna-Marie.Swan#8824,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
eduardovegap#0422,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
liviade#1387,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
divine_comedian#5493,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
natesuits#4789,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
nic#9212,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Suga#8514,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Tam2140#9361,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Zeptimus#3359,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
santigs#9769,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Mount Manu#3530,chuygarcia92#6692,@Mount Manu for attending Comms WG today <:TEC:835016327542210560> ,Token Engineering Commons,Jul-13-2021,🙏praise
Revathi#5324,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
kei#9866,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
taxil#8577,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
Anna-Marie.Swan#8824,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
Justice#8638,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
Vyvy-vi#5040,Kris#8703,for their respective contributions and involvement in comms tasks! Thank you! ,Commons Stack,Jul-13-2021,🙌praise
Letty#5399,Zeptimus#3359,for engaging with the Transparency WG on the chat asking very important questions that are helping some much on the next steps for the WG itself 🙏 ,Token Engineering Commons,Jul-13-2021,🙏praise
solsista#5370,Zeptimus#3359,for engaging with the Transparency WG on the chat asking very important questions that are helping some much on the next steps for the WG itself 🙏 ,Token Engineering Commons,Jul-13-2021,🙏praise
Dan Knobelsdorf.eth#0326,pavl#1561,@Dan Knobelsdorf.eth for his huge help and fast answers on the Trusted Seed topic! ,Token Engineering Commons,Jul-14-2021,🙏praise
elessar.eth#7945,pavl#1561,for his support and help every time I need it ,Token Engineering Commons,Jul-14-2021,🙏praise
Vyvy-vi#5040,Zeptimus#3359,for being a wizard and sharing his wisdom always!! ,Token Engineering Commons,Jul-14-2021,🙏praise
santigs#9769,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
Suga#8514,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
griff#3281,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
Zeptimus#3359,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
Anna-Marie.Swan#8824,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
Tam2140#9361,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
mateodaza#3156,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
eduardovegap#0422,liviade#1387,for joining soft gov! ,Token Engineering Commons,Jul-14-2021,🙏praise
Letty#5399,liviade#1387,for contributing to soft gov remotely during our call! ,Token Engineering Commons,Jul-14-2021,🙏praise
sem  🐝#0161,liviade#1387,@sem  🐝 for his amazing contributions as a TEC steward and for his heartfelt farewell letter ,Token Engineering Commons,Jul-14-2021,🙏praise
Zeptimus#3359,liviade#1387,"for following advice process and forum voting to make a decision, and for constantly questioning our processes and seeing how we can improve ",Token Engineering Commons,Jul-14-2021,🙏praise
mercedesrodsim#1317,Anna-Marie.Swan#8824,@Dan Knobelsdorf.eth for a nearly 3-hour CSTK quant session last friday! ,Commons Stack,Jul-14-2021,🙌praise
Ekeneodigwe#1502,Anna-Marie.Swan#8824,@Dan Knobelsdorf.eth for a nearly 3-hour CSTK quant session last friday! ,Commons Stack,Jul-14-2021,🙌praise
griff#3281,Anna-Marie.Swan#8824,@Dan Knobelsdorf.eth for a nearly 3-hour CSTK quant session last friday! ,Commons Stack,Jul-14-2021,🙌praise
Dan Knobelsdorf.eth#0326,Anna-Marie.Swan#8824,@Dan Knobelsdorf.eth for a nearly 3-hour CSTK quant session last friday! ,Commons Stack,Jul-14-2021,🙌praise
Anna-Marie.Swan#8824,Anna-Marie.Swan#8824,@Dan Knobelsdorf.eth for a nearly 3-hour CSTK quant session last friday! ,Commons Stack,Jul-14-2021,🙌praise
griff#3281,liviade#1387,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch ,Token Engineering Commons,Jul-14-2021,🙏praise
iviangita#3204,liviade#1387,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch ,Token Engineering Commons,Jul-14-2021,🙏praise
freshelle#9882,liviade#1387,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch ,Token Engineering Commons,Jul-14-2021,🙏praise
Vyvy-vi#5040,liviade#1387,for the incredible work they've been doing with the praise audit and preparing the last details so the praise sheets are ready for the hatch ,Token Engineering Commons,Jul-14-2021,🙏praise
Tam2140#9361,liviade#1387,@Dan Knobelsdorf.eth for reaching out to hatchers and getting their last minute activations! ,Token Engineering Commons,Jul-14-2021,🙏praise
eduardovegap#0422,liviade#1387,@Dan Knobelsdorf.eth for reaching out to hatchers and getting their last minute activations! ,Token Engineering Commons,Jul-14-2021,🙏praise
Dan Knobelsdorf.eth#0326,liviade#1387,@Dan Knobelsdorf.eth for reaching out to hatchers and getting their last minute activations! ,Token Engineering Commons,Jul-14-2021,🙏praise
Suga#8514,liviade#1387,for preparing orientation sessions to substitute the AMA's 🙌 ,Token Engineering Commons,Jul-14-2021,🙏praise
chuygarcia92#6692,liviade#1387,"for all the care they've put in the Paris preparation making everyone feel so safe, comfy and taken care of 🌹 ",Token Engineering Commons,Jul-14-2021,🙏praise
jukren#8803,liviade#1387,"for all the care they've put in the Paris preparation making everyone feel so safe, comfy and taken care of 🌹 ",Token Engineering Commons,Jul-14-2021,🙏praise
griff#3281,liviade#1387,"for all the care they've put in the Paris preparation making everyone feel so safe, comfy and taken care of 🌹 ",Token Engineering Commons,Jul-14-2021,🙏praise
ygg_anderson#4998,liviade#1387,for hacking on the IH integration last night 🙌 ,Token Engineering Commons,Jul-14-2021,🙏praise
griff#3281,liviade#1387,for hacking on the IH integration last night 🙌 ,Token Engineering Commons,Jul-14-2021,🙏praise
metaverde#2503,Vyvy-vi#5040,"for suggesting changes to the channel names, that make this more accessible and make the names look neat :) ",Token Engineering Commons,Jul-14-2021,🙏praise
Anna-Marie.Swan#8824,Vyvy-vi#5040,for coming to the orientation AMA call :D ,Token Engineering Commons,Jul-14-2021,🙏｜praise
nic#9212,Vyvy-vi#5040,for coming to the orientation AMA call :D ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Huxwell#2172,Vyvy-vi#5040,for coming to the orientation AMA call :D ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Suga#8514,Vyvy-vi#5040,for running the orientation presentation! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Mount Manu#3530,Vyvy-vi#5040,@Mount Manu for the insight on the orientation call ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Suga#8514,Anna-Marie.Swan#8824,"for a super clear, interesting, and helpful orientation. Appreciate the love and care you bring to everything. ",Token Engineering Commons,Jul-14-2021,🙏｜praise
Anna-Marie.Swan#8824,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Vyvy-vi#5040,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Mount Manu#3530,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Huxwell#2172,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Piedra de mar#2107,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
David (please DYOR...)#4116,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
joseacabrerav#5399,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
durgadas#9280,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Wen#1934,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
nic#9212,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
liviade#1387,Suga#8514,@Mount Manu @Piedra de mar @David (please DYOR...) for attending the Orientation/AMA today! ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Suga#8514,nic#9212,"for helping  people better understand what the TEC is about, and working hard to improve new members' experiences 🌞 ",Token Engineering Commons,Jul-14-2021,🙏｜praise
Suga#8514,Huxwell#2172,for the onboarding session and @Mount Manu for adding up on the definition of commons ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Mount Manu#3530,Huxwell#2172,for the onboarding session and @Mount Manu for adding up on the definition of commons ,Token Engineering Commons,Jul-14-2021,🙏｜praise
Mount Manu#3530,David (please DYOR...)#4116,@Mount Manu again for helping me get sorted and welcome in the TEC. 💛 ,Token Engineering Commons,Jul-14-2021,🙏｜praise
metaverde#2503,griff#3281,"for dropping into the Praise Audit, recording it and dropping the video here all cleaned up! 😄 ",Token Engineering Commons,Jul-15-2021,🙌🏽｜soft-gov
griff#3281,Juankbell#7458,and @Vitor Marthendal for hacking until late hours the final touches of the IH distribution so that we can be ready for launching the hatch! You rock guys ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Vitor Marthendal#0090,Juankbell#7458,and @Vitor Marthendal for hacking until late hours the final touches of the IH distribution so that we can be ready for launching the hatch! You rock guys ,Token Engineering Commons,Jul-15-2021,🙏｜praise
sem  🐝#0161,Juankbell#7458,@sem  🐝 for being one of the most coherent people i've met in my life around his beliefs and the way he behaves ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Vyvy-vi#5040,metaverde#2503,for taking intitiave making the Discord more grockable for overstims such as myself. Referring to the channel format. ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Tam2140#9361,Zeptimus#3359,for support with the timmer and being the a rockstar managing tec! hatch its ready thanks🤩 ,Token Engineering Commons,Jul-15-2021,🙏｜praise
natesuits#4789,Zeptimus#3359, i wanna include you on the praise that questioning our processes to make it more robust⚡ ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Tam2140#9361,natesuits#4789,for all your leadership. ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Vyvy-vi#5040,natesuits#4789,"for your Forum Post on the potential proposal for Discord Onboarding!  (EVERYONE pay attention!) This is a the RIGHT way to approach the advice process!  Amazing job.  Pros, Cons, your understanding, and questions you seek to answer!  🙃 ",Token Engineering Commons,Jul-15-2021,🙏｜praise
Vitor Marthendal#0090,karmaticacid#1218,@Vitor Marthendal for staying up to the wee hours working on the IH distribution so we could Hatch today! 🎉 ,Token Engineering Commons,Jul-15-2021,🙏｜praise
griff#3281,karmaticacid#1218,@Vitor Marthendal for staying up to the wee hours working on the IH distribution so we could Hatch today! 🎉 ,Token Engineering Commons,Jul-15-2021,🙏｜praise
Juankbell#7458,kristofer#1475,for a beautiful meditation and exiting plans for the upcoming Graviton Training ,Token Engineering Commons,Jul-15-2021,🙏｜praise
karmaticacid#1218,Suga#8514,for walking me through how to get wxDai! ,Token Engineering Commons,Jul-15-2021,🙏｜praise
