,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
117,117,speak confer,for speaking at the conferences,4.2,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
125,125,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,27.0,"griff (💜, 💜)#8888",2021-07-15T22:00:00.000Z,
133,133,us sinc begin although background late appreci silent hustl,for being with us since the beginning although she has been in the background as of late. We appreciate your silent hustle,23.67,JessicaZartler#2263,2021-07-15T22:00:00.000Z,
138,138,dese common upgrad dashboard,for the desings on the commons upgrade dashboard,39.33,markop#2007,2021-07-26T22:00:00.000Z,
139,139,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,25.33,freshelle#9882,2021-07-15T22:00:00.000Z,
141,141,inspir govern talk alway look best ecosystem,for the inspiring governance talks we've been having and for always looking for what is the best to the ecosystem,25.33,JeffEmmett#7202,2021-07-28T22:00:00.000Z,
142,142,inspir govern talk alway look best ecosystem,for the inspiring governance talks we've been having and for always looking for what is the best to the ecosystem,25.33,JessicaZartler#2263,2021-07-28T22:00:00.000Z,
143,143,hold onboard fort suga pari,for holding down the [onboarding] fort while Suga was in Paris,28.0,anna-marie#8824,2021-07-30T22:00:00.000Z,
144,144,dive prais audit support  hour close call,for diving into the Praise audit and supporting during our 3 hour closing call,23.67,Juankbell#7458,2021-07-12T22:00:00.000Z,
146,146,creat content event pictur video ,for creating content in the event (pictures and videos),25.33,natesuits#4789,2021-07-19T22:00:00.000Z,
152,152,daoist talk,for their daoist talk,34.0,liviade#1387,2021-07-22T22:00:00.000Z,
154,154,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,23.8,"sem(🌸,🐝)#0161",2021-07-15T22:00:00.000Z,
157,157,jump ethcc stage impromptu present slay,for jumping on the ETHCC stage to do an impromptu presentation and slaying it,29.67,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
159,159,amaz coordin ethcc,for the amazing coordination for the EthCC,22.67,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
160,160,speak confer,for speaking at the conferences,20.6,liviade#1387,2021-07-30T22:00:00.000Z,
