index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
40,6499c64d574113836681087b,2023-06-26T17:09:33.304Z,brichis,Isaac (enti)#1546,for their work on the Optimism Growth Grant for the TEC!,13,34,144.0,,,,False,False,False,r33pich33p,divine_comedian,zeptimus,63.6666666666667,131.0
115,64ac3c98a6ed416eb2875c96,2023-07-10T17:15:04.732Z,liviade#1387,Isaac (enti)#1546,for her Stakeholder Study presentation in Eth Barcelona! I loved it,13,89,144.0,,,,False,False,False,r33pich33p,divine_comedian,zeptimus,82.0,131.0
150,64affa2f11858323f3510454,2023-07-13T13:20:47.882Z,0xr3x,"Griff (💜,💜)#8888","for updating the TEC Dune Dashboard to fix the tribute amount... DYK that over $300,000 were raised by the TEC in Tributes to advance TE!!!",8,13,89.0,,,,False,False,False,maxwe11,philh,zeptimus,36.6666666666667,81.0
32,6499c60a574113836681076e,2023-06-26T17:08:26.128Z,liviade#1387,gideonro#0,for their hard work in pulling together an excellent Optimism Growth Grant for the TEC.,13,21,89.0,,,,False,False,False,r33pich33p,divine_comedian,zeptimus,41.0,76.0
53,6499c6c057411383668115f0,2023-06-26T17:11:28.896Z,liviade#1387,bear100#9085,for their incredible work pulling together the Optimism growth grant application,13,21,89.0,,6499c60a574113836681076e,6499c60a574113836681076e,False,False,False,r33pich33p,divine_comedian,zeptimus,4.33333333333333,76.0
39,6499c64d5741138366810878,2023-06-26T17:09:33.304Z,liviade#1387,Isaac (enti)#1546,for their work on the Optimism Growth Grant for the TEC!,13,21,89.0,,6499c60a574113836681076e,6499c60a574113836681076e,False,False,False,r33pich33p,divine_comedian,zeptimus,4.33333333333333,76.0
20,6487538bf86c72ac11401064,2023-06-12T17:19:07.099Z,gideonro#0,natesuits#4789,for putting together a future roadmap for the TEC.  The future of TEC and the merger with the TE Academy will help the field of TE significantly.  Mad praise.,21,34,89.0,,,,False,False,False,r33pich33p,philh,zeptimus,48.0,68.0
95,649a050b5741138366813bd1,2023-06-26T21:37:15.572Z,freshelle,ygg_anderson#4998,For onboarding me super smoothly to the TE AI project.,5,5,55.0,,,,False,False,False,maxwe11,philh,zeptimus,21.6666666666667,50.0
92,649a050b5741138366813bd0,2023-06-26T21:37:15.572Z,Tamarandom#9361,ygg_anderson#4998,For onboarding me super smoothly to the TE AI project.,5,5,55.0,,,,False,False,False,r33pich33p,philh,zeptimus,21.6666666666667,50.0
141,64ac3e17a6ed416eb2876e1a,2023-07-10T17:21:27.448Z,0xr3x,gideonro#0,for his work processing data for round one of the TE grants program,8,13,55.0,,,,False,False,False,maxwe11,philh,zeptimus,25.3333333333333,47.0
145,64ac3f6fa6ed416eb2876ef5,2023-07-10T17:27:11.968Z,0xr3x,bear100#9085,for figuring out the numbers for the grants payments,8,13,55.0,,64ac3e17a6ed416eb2876e1a,,False,False,False,maxwe11,philh,zeptimus,21.0,47.0
148,64ac3fe0a6ed416eb2876f3b,2023-07-10T17:29:04.788Z,liviade#1387,gideonro#0,for continuing to play an important leadership role in the TEC,13,8,55.0,,,,False,False,False,r33pich33p,divine_comedian,zeptimus,25.3333333333333,47.0
149,64ac3fe0a6ed416eb2876f3c,2023-07-10T17:29:04.788Z,Tamarandom#9361,gideonro#0,for continuing to play an important leadership role in the TEC,8,21,55.0,,6499c7fe5741138366811c1f,,False,False,False,r33pich33p,philh,zeptimus,21.0,47.0
