,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
5,621f79e443b89009366ca7bf,2021-12-27T23:00:00.000Z,Lin#3884,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,False,True,False,False,Zeptimus#3359,bends#3537,Usua◎ Silver#2618,"griff (💜, 💜)#8888",0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
6,621f79e443b89009366ca7c0,2021-12-27T23:00:00.000Z,WhyldWanderer#7002,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,False,True,False,False,Mount Manu#3530,bends#3537,tigeroid#2951,innov8tor3#3988,2.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
9,621f79e443b89009366ca7c3,2021-12-27T23:00:00.000Z,thiago.rossi#1714,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼,False,True,False,False,Maxwe11#7157,bends#3537,Usua◎ Silver#2618,"griff (💜, 💜)#8888",0.67,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼
10,621f79e443b89009366ca7c4,2021-12-27T23:00:00.000Z,Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,True,hanners717#2022,missgene#7773,PhilH#1102,bear100#9085,1.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
11,621f79e443b89009366ca7c5,2021-12-27T23:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Zeptimus#3359,lee0007#8152,shawn#7046,innov8tor3#3988,0.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
12,621f79e443b89009366ca7c6,2021-12-27T23:00:00.000Z,liviade#1387,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Mettodo#7010,AmwFund#0979,divine_comedian#5493,boonjue.eth#7124,0.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
13,621f79e443b89009366ca7c7,2021-12-27T23:00:00.000Z,Tam2140#9361,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Mount Manu#3530,missgene#7773,divine_comedian#5493,boonjue.eth#7124,1.75,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
14,621f79e443b89009366ca7c8,2021-12-27T23:00:00.000Z,solsista#5370,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Mettodo#7010,Tam2140#9361,Usua◎ Silver#2618,Parrachia#0450,0.67,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
16,621f79e443b89009366ca7ca,2021-12-27T23:00:00.000Z,divine_comedian#5493,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,False,True,zhiwei#1356,Tam2140#9361,liviade#1387,bear100#9085,0.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
17,621f79e443b89009366ca7cb,2021-12-27T23:00:00.000Z,Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Mettodo#7010,AmwFund#0979,divine_comedian#5493,"griff (💜, 💜)#8888",0.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
