USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,397.9499029485165,49.850826010544814,144.0,0.0,447.80072895906136
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,243.8886699325261,58.85166959578207,170.0,0.0,302.7403395283082
Irem#3362,0x55e44dde847a63a00df5ef9d2396d845405648b7,292.6726462704501,0.0,0.0,0.0,292.6726462704501
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,268.04656992328313,0.0,0.0,21.105,289.15156992328315
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,281.15550790276365,0.0,0.0,0.0,281.15550790276365
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,206.34092614844258,62.313532513181016,180.0,0.0,268.6544586616236
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,267.9841464090951,0.0,0.0,0.0,267.9841464090951
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,188.86234217580184,52.27413005272407,151.0,0.0,241.13647222852592
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,203.28217395323043,0.0,0.0,0.0,203.28217395323043
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,195.5728699510121,0.0,0.0,0.0,195.5728699510121
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,170.8843700896571,0.0,0.0,0.0,170.8843700896571
r-x-x#8344,0x1409a9ef3450d5d50aad004f417436e772fbf8fc,99.87762270080414,62.313532513181016,180.0,0.0,162.19115521398516
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,134.21055550420556,0.0,0.0,21.105,155.31555550420555
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,118.60467695720492,0.0,0.0,0.0,118.60467695720492
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,118.2301358720769,0.0,0.0,0.0,118.2301358720769
richa#0775,0xc534a543754e7b2c35bc3735ba4efd27b875c039,109.24114982900454,0.0,0.0,0.0,109.24114982900454
angieberry.eth#9822,0xc163041d404e7657530491577665e40da84c9bd7,99.12854053054811,0.0,0.0,0.0,99.12854053054811
stellaachenbach#2991,0xd2bc5cb641ae6f7a880c3dd5aee0450b5210be23,97.78643497550604,0.0,0.0,0.0,97.78643497550604
BiancaGadelha#2667,0x1375847014ba64517210cbfe185808232cf45d4a,97.06856456234402,0.0,0.0,0.0,97.06856456234402
Mark D#6686,0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c,94.82131805157593,0.0,0.0,0.0,94.82131805157593
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,62.42351418800259,0.0,0.0,21.105,83.52851418800259
ombudsman#3822,missing user address,74.12792309825308,0.0,0.0,0.0,74.12792309825308
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,71.78704131620297,0.0,0.0,0.0,71.78704131620297
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,65.54468989740272,0.0,0.0,0.0,65.54468989740272
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,62.42351418800259,0.0,0.0,0.0,62.42351418800259
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,0.0,62.313532513181016,180.0,0.0,62.313532513181016
withinthevacuum#2626,0x405bb3cdf23833bb27bad6629b7cd4f01688235f,61.643220260652555,0.0,0.0,0.0,61.643220260652555
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,39.51408448100564,0.0,0.0,21.105,60.61908448100564
Kojak#5611,0xe3181f4596509af72d684d89947df309f41f65ff,56.18116276920233,0.0,0.0,0.0,56.18116276920233
Sha#6179,0x46d79ec988a2f603477e81ff2c0c7edef3901145,53.372104630742214,0.0,0.0,0.0,53.372104630742214
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,48.783976337924024,0.0,0.0,0.0,48.783976337924024
AnnAnna#4694,0x9ef53569800e203c20200256cf134abc675bc8e1,46.97369442647195,0.0,0.0,0.0,46.97369442647195
missgene#7773,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,0.0,46.04277680140597,133.0,0.0,46.04277680140597
LBS#6541,0x328713d71ce23228d35263ca760984753d08bb59,44.72644791570386,0.0,0.0,0.0,44.72644791570386
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,43.696459931601815,0.0,0.0,0.0,43.696459931601815
miguelb#5176,0x7311b7bf2f004b8070efaf4a130348eeb18ef369,43.66524817450781,0.0,0.0,0.0,43.66524817450781
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,42.13587207690175,0.0,0.0,0.0,42.13587207690175
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,40.57528422220168,0.0,0.0,0.0,40.57528422220168
streamerd#5565,0xed2ef70e8b1ebf95bdfd7ba692454143b2a8263b,38.234402440151584,0.0,0.0,0.0,38.234402440151584
SatoriD#2945,0xee9f5ab4faecbe30012f675bb938031bc51bb49b,35.89352065810149,0.0,0.0,0.0,35.89352065810149
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,30.431463166651262,0.0,0.0,0.0,30.431463166651262
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,26.5299935299011,0.0,0.0,0.0,26.5299935299011
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,24.969405675201035,0.0,0.0,0.0,24.969405675201035
xirclev#9865,missing user address,22.62852389315094,0.0,0.0,0.0,22.62852389315094
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,21.105,21.105
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,21.105,21.105
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,21.105,21.105
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,21.105,21.105
Eclipsingbinary#7338,missing user address,18.727054256400777,0.0,0.0,0.0,18.727054256400777
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,18.727054256400777,0.0,0.0,0.0,18.727054256400777
VitorNunes#0090,missing user address,18.727054256400777,0.0,0.0,0.0,18.727054256400777
PhilH#1102,0xaa01dec5307cf17f20881a3286dcaa062578cea7,17.16646640170071,0.0,0.0,0.0,17.16646640170071
rathermercurial#2096,0x3fad8bcd2aea732d02a203c156b19205253f2a06,16.63586653110269,0.0,0.0,0.0,16.63586653110269
WhyldWanderer#7002,0xed8db37778804a913670d9367aaf4f043aad938b,15.69951381828265,0.0,0.0,0.0,15.69951381828265
Jolly LaMa#5962,missing user address,15.605878547000648,0.0,0.0,0.0,15.605878547000648
Active Inference Institute#3629,0xefcdc3a4164846b7e39c4708a7c816f4459f26bf,13.514690821702562,0.0,0.0,0.0,13.514690821702562
Jeanne#8780,0x62edaac42add454ebf7f228f50ec8093ea446176,13.514690821702562,0.0,0.0,0.0,13.514690821702562
EFRA#7972,0x438cddcc8e6f0e0e18ce33f6b5a8ffcfab5a999c,12.484702837600517,0.0,0.0,0.0,12.484702837600517
Rohekbenitez#8753,0x6c965b656c450259a6d4d95a2e68fb4319eecbc0,11.205020796746464,0.0,0.0,0.0,11.205020796746464
irenioskamoska#7519,0xa7c2981dad6496882f51f338fb811783c477e605,10.424726869396432,0.0,0.0,0.0,10.424726869396432
KZ Flyer#0926,0x343ef442add9bd565d51b606f444f9221ad0aeb6,9.89412699879841,0.0,0.0,0.0,9.89412699879841
JessicaZartler#2263,0xb2821c0df0c414ff51d3e8033cba26df6aac587b,9.363527128200388,0.0,0.0,0.0,9.363527128200388
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,9.363527128200388,0.0,0.0,0.0,9.363527128200388
tinker tailor#9257,missing user address,7.802939273500324,0.0,0.0,0.0,7.802939273500324
johnjonas#2307,0x80a8c828673b928db79e47ec1b0cad5a7d71deea,7.802939273500324,0.0,0.0,0.0,7.802939273500324
alantv#0964,0x1e655feec2767b4c6409ccffa76d7560da11f2cb,7.272339402902301,0.0,0.0,0.0,7.272339402902301
karmaticacid | AFK til Sept 12#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,7.116280617432295,0.0,0.0,0.0,7.116280617432295
roro#1166,0x792f7327beeecb1638fcdb97d57ed710829465e2,6.242351418800259,0.0,0.0,0.0,6.242351418800259
Crypto Zach#6753,0xa6bba3fd4493e614c97e1dfc39fd55759aea4f9a,6.242351418800259,0.0,0.0,0.0,6.242351418800259
ALKOHLMIST#0550,missing user address,6.242351418800259,0.0,0.0,0.0,6.242351418800259
jimsta888#2626,0xba0e393d0d47ae81a22f27d68bac043bb64ddb31,6.242351418800259,0.0,0.0,0.0,6.242351418800259
Contessa#6497,missing user address,5.992657362048249,0.0,0.0,0.0,5.992657362048249
The DeFinary#5086,missing user address,5.212363434698216,0.0,0.0,0.0,5.212363434698216
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,5.212363434698216,0.0,0.0,0.0,5.212363434698216
Aequio#7036,missing user address,5.212363434698216,0.0,0.0,0.0,5.212363434698216
bmorphism#1337,missing user address,5.212363434698216,0.0,0.0,0.0,5.212363434698216
ZER8🧠#9093,0x8758e5741de847363dd2715a62431cc0cbda4ca6,5.212363434698216,0.0,0.0,0.0,5.212363434698216
shawn#7046,0xc68e8827fc1dd3b2bc94ca8b0228268f16dd6cf6,4.681763564100194,0.0,0.0,0.0,4.681763564100194
solarmkd#0718,missing user address,4.681763564100194,0.0,0.0,0.0,4.681763564100194
Rodricast#1415,missing user address,4.681763564100194,0.0,0.0,0.0,4.681763564100194
Jeremy&TheGospelOfChange#8201,0xca63608615de005339652c0eca93c5836eb0c2bd,4.681763564100194,0.0,0.0,0.0,4.681763564100194
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,4.681763564100194,0.0,0.0,0.0,4.681763564100194
davidlidz#2483,0x7735f817ac266ec4385e3c38df96082dd632895b,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
tjayrush#9164,missing user address,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
tmoindustries#0001,missing user address,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
unquale#1948,missing user address,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
Griff 🔥AFK till Sept 15🔥#8888,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
wslyvh#1059,0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,3.1211757094001293,0.0,0.0,0.0,3.1211757094001293
