,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,DISMISSAL AGREED,ORIGINAL MSG
115,621f79e243b89009366c937b,2021-09-30T22:00:00.000Z,Juankbell#7458,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,True,True,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,4.5,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
116,621f79e243b89009366c937c,2021-09-30T22:00:00.000Z,durgadas#9280,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,AmwFund#0979,Maxwe11#7157,shawn#7046,osycross(🦎🦎)#5943,1.25,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
119,621f79e243b89009366c937f,2021-09-30T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,Sha#6179,Mettodo#7010,shawn#7046,Mike Brunt#0745,2.25,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
152,621f79e243b89009366c93a0,2021-10-01T22:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for an awesome retrospective today 👨🏻‍💻,False,False,True,False,AmwFund#0979,Tam2140#9361,shawn#7046,bends#3537,2.75,False,for an awesome retrospective today 👨🏻‍💻
175,621f79e243b89009366c93b7,2021-10-01T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for their next Graviton session ✍🏻,False,False,False,True,Usua◎ Silver#2618,Tam2140#9361,kristofer#1475,osycross(🦎🦎)#5943,8.5,False,for their next Graviton session ✍🏻
210,621f79e243b89009366c93da,2021-10-01T22:00:00.000Z,Zeptimus#3359,Mount Manu#3530,for the great conversation after the Commons Swam call this Monday 🤖,False,False,True,False,Usua◎ Silver#2618,Mettodo#7010,kristofer#1475,bends#3537,3.75,False,for the great conversation after the Commons Swam call this Monday 🤖
272,621f79e243b89009366c9418,2021-10-01T22:00:00.000Z,VitorNunes#0090,Mount Manu#3530,for their work in Params <:TEC:835016327542210560>,True,False,False,False,Sha#6179,Mettodo#7010,kristofer#1475,eduardovegap#0422,2.75,False,for their work in Params <:TEC:835016327542210560>
276,621f79e243b89009366c941c,2021-10-01T22:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for their work in Params <:TEC:835016327542210560>,False,False,True,False,liviade#1387,Parrachia#0450,bear100#9085,eduardovegap#0422,1.4,False,for their work in Params <:TEC:835016327542210560>
333,621f79e243b89009366c945c,2021-10-04T22:00:00.000Z,anna-marie#8824,chuygarcia.eth#6692,for leading toda,True,False,True,False,Usua◎ Silver#2618,Tam2140#9361,shawn#7046,bends#3537,0.5,False,for leading toda
334,621f79e243b89009366c945d,2021-10-04T22:00:00.000Z,natesuits#4789,chuygarcia.eth#6692,for leading toda,True,False,False,False,Usua◎ Silver#2618,Tam2140#9361,kristofer#1475,osycross(🦎🦎)#5943,2.5,False,for leading toda
405,621f79e243b89009366c94a7,2021-10-06T22:00:00.000Z,chuygarcia.eth#6692,Rohekbenitez#8753,for ,False,True,True,True,Mount Manu#3530,Parrachia#0450,lee0007#8152,Mike Brunt#0745,0.0,False,for 
452,621f79e243b89009366c94d6,2021-10-07T22:00:00.000Z,Juankbell#7458,iviangita#3204,for the amazing Graviton training,False,False,True,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,4.3,False,for the amazing Graviton training
456,621f79e243b89009366c94da,2021-10-07T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for all their work with the Communitas WG,True,False,False,False,Sha#6179,Maxwe11#7157,shawn#7046,enti#1546,0.33,False,for all their work with the Communitas WG
479,621f79e243b89009366c94f1,2021-10-07T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for engaging on the Treasury Management post,False,True,False,False,Mount Manu#3530,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,4.33,False,for engaging on the Treasury Management post
482,621f79e243b89009366c94f4,2021-10-07T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for engaging on the Treasury Management post,False,False,True,False,hanners717#2022,Mettodo#7010,shawn#7046,Vyvy-vi#5040,5.75,False,for engaging on the Treasury Management post
491,621f79e243b89009366c94fd,2021-10-07T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for all the contributions they’ve had lately on the forum (very active)!,False,False,True,False,hanners717#2022,tigeroid#2951,bear100#9085,Mike Brunt#0745,4.5,False,for all the contributions they’ve had lately on the forum (very active)!
517,621f79e243b89009366c9517,2021-10-07T22:00:00.000Z,Gus#1951,iviangita#3204,for ,False,True,True,True,Mount Manu#3530,tigeroid#2951,Nuggan#5183,enti#1546,0.0,False,for 
521,621f79e243b89009366c951b,2021-10-07T22:00:00.000Z,Juankbell#7458,iviangita#3204,for all his work training Gravitons!,False,False,True,False,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,6.3,False,for all his work training Gravitons!
569,621f79e243b89009366c9550,2021-10-07T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,hanners717#2022,tigeroid#2951,bear100#9085,Mike Brunt#0745,1.07,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
570,621f79e243b89009366c9551,2021-10-07T22:00:00.000Z,BiancaGadelha#2667,iviangita#3204,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,False,False,True,False,Usua◎ Silver#2618,Tam2140#9361,Nuggan#5183,enti#1546,1.25,False,for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️
