USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,232.84698112906855,11.308674572724101,223.0,0.0,244.15565570179265
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,220.18595756209595,5.7811161492849665,114.0,0.0,225.96707371138092
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,222.234891833457,0.0,0.0,0.0,222.234891833457
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,165.93719540807925,7.25175095919079,143.0,0.0,173.18894636727003
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,144.6633657440445,6.9474816881757935,137.0,13.846666555555556,165.45751398777585
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,119.32145818097466,12.931444018137425,255.0,13.846666555555556,146.09956875466762
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,118.5204208729466,15.213463550749912,300.0,0.0,133.7338844236965
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,118.04046050243392,0.0,0.0,13.846666555555556,131.88712705798946
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,112.56560220706851,15.213463550749912,300.0,0.0,127.77906575781842
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,126.53410402474807,0.0,0.0,0.0,126.53410402474807
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,124.14754245826775,0.0,0.0,0.0,124.14754245826775
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,120.69513786209718,0.0,0.0,0.0,120.69513786209718
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,118.96728052825151,0.0,0.0,0.0,118.96728052825151
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,116.7660829669347,0.0,0.0,0.0,116.7660829669347
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,100.61955408858378,0.0,0.0,0.0,100.61955408858378
VitorNunes#0090,missing user address,98.1105198758347,0.0,0.0,0.0,98.1105198758347
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,80.04414951543302,14.858482734565747,293.0,0.0,94.90263224999876
David (please DYOR...)#4116,missing user address,88.96810233544821,0.0,0.0,0.0,88.96810233544821
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,61.292594350230466,13.69211719567492,270.0,13.846666555555556,88.83137810146094
pKrepe#5682,0xb46a595c65f62236eb7934b43397e0a05ea33c10,88.36897939018755,0.0,0.0,0.0,88.36897939018755
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,72.79178281341028,0.0,0.0,0.0,72.79178281341028
LBS#6541,0x328713d71ce23228d35263ca760984753d08bb59,69.95505152010426,0.0,0.0,0.0,69.95505152010426
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,59.86926359629629,0.0,0.0,0.0,59.86926359629629
"sem(🌸,🐝)#0161",0x970f31ffc1429c75b0bc56c42e92a58198e858cf,47.2082400293237,0.0,0.0,0.0,47.2082400293237
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,46.70841922968635,0.0,0.0,0.0,46.70841922968635
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,43.96768001048287,0.0,0.0,0.0,43.96768001048287
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,40.88269335311857,0.0,0.0,0.0,40.88269335311857
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,38.42000014166037,0.0,0.0,0.0,38.42000014166037
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,38.145264205435865,0.0,0.0,0.0,38.145264205435865
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,23.336004221478902,12.373617021276594,244.0,0.0,35.709621242755496
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,34.38171288631224,0.0,0.0,0.0,34.38171288631224
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,17.232232337165836,0.0,0.0,13.846666555555556,31.07889889272139
Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,30.36990620313034,0.0,0.0,0.0,30.36990620313034
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,29.81381418763978,0.0,0.0,0.0,29.81381418763978
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,29.459636534916626,0.0,0.0,0.0,29.459636534916626
anna-marie#8824,0x8041748a2a16e9b7a3980107f4376774421642c8,28.93002509159228,0.0,0.0,0.0,28.93002509159228
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,28.092576996835664,0.0,0.0,0.0,28.092576996835664
Jolie_Ze#0295,missing user address,24.86856733559872,0.0,0.0,0.0,24.86856733559872
ZER8🧠#9093,0x8758e5741de847363dd2715a62431cc0cbda4ca6,24.511079611354788,0.0,0.0,0.0,24.511079611354788
ddan#2489,0x94860ea6872d863e91f3ce3f8cf574ef0859620b,22.899074780736317,0.0,0.0,0.0,22.899074780736317
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,20.644916075087078,0.0,0.0,0.0,20.644916075087078
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,5.32921514845121,15.010617370073245,296.0,0.0,20.339832518524453
rdfbbx#6437,0xf592ee0e3a20ddd65882e0fe6bfbb4b465a98ae4,18.88726809755441,0.0,0.0,0.0,18.88726809755441
Caeser (PST)#0046,missing user address,18.155742291462662,0.0,0.0,0.0,18.155742291462662
santigs#9769,0x9194b1713a8e07bc47b90fb7937e28e09b6cd100,17.424216485370913,0.0,0.0,0.0,17.424216485370913
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,3.200839160591503,14.097809557028251,278.0,0.0,17.298648717619756
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,15.213463550749912,300.0,0.0,15.213463550749912
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,15.213463550749912,300.0,0.0,15.213463550749912
gritty67#0518,missing user address,13.951951460075684,0.0,0.0,0.0,13.951951460075684
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,13.945674921520753,275.0,0.0,13.945674921520753
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,13.846666555555556,13.846666555555556
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,13.846666555555556,13.846666555555556
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,13.846666555555556,13.846666555555556
missing username,0x5303d37018b0e7e6f4fe8c706b7001735e5d430a,0.0,0.0,0.0,13.846666555555556,13.846666555555556
tigeroid#2951,0xd3898129d4acb0f8039b1b9d6367b236f1e6100f,0.0,13.844251831182419,273.0,0.0,13.844251831182419
Sha#6179,0x46d79ec988a2f603477e81ff2c0c7edef3901145,0.0,13.641405650505753,269.0,0.0,13.641405650505753
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,12.992030719050309,0.0,0.0,0.0,12.992030719050309
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,0.0,12.931444018137425,255.0,0.0,12.931444018137425
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,0.0,12.830020927799092,253.0,0.0,12.830020927799092
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,12.322905476107428,243.0,0.0,12.322905476107428
RodriCastillo#1415,missing user address,12.09831140844048,0.0,0.0,0.0,12.09831140844048
heater#9765,0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,12.065210693232707,0.0,0.0,0.0,12.065210693232707
Yonks#7762,missing user address,11.952668261526284,0.0,0.0,0.0,11.952668261526284
MsMagey#8357,missing user address,11.83350568677831,0.0,0.0,0.0,11.83350568677831
elessar.eth#7945,missing user address,11.502498534700594,0.0,0.0,0.0,11.502498534700594
jugaadbhatia#0949,missing user address,11.42636688972272,0.0,0.0,0.0,11.42636688972272
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,0.0,10.750847575863272,212.0,0.0,10.750847575863272
amanwithwings#0165,0x7ace0b7a0cfb2980aa25310af5c2602144d58db2,10.092408066849528,0.0,0.0,0.0,10.092408066849528
