name,address,vested_amount
kristofer,0xa32aECda752cF4EF89956e83d60C04835d4FA867,398.1741768
griff,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,243.3269562
mattyg,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,235.6857821
tamara,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,231.2436614
sourcecred,,146.713491
liviade,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,131.4547767
divine-comedian,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,124.6268982
marthendalnunes,,121.6000482
zeptimus,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,119.6336262
pkrepe,,106.1689717
sem,0x970f31FfC1429c75B0bc56c42e92a58198E858cf,101.1732876
vyvy-vi,0x2fA130927814B590623031e846f059df9554FdDe,92.42748798
nuggan,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,90.3731724
tecparamsbot,,88.80329496
jessicazartler,0xb2821C0DF0c414ff51D3e8033CBA26DF6AaC587b,84.84738279
juankbell,0x7d547666209755FB833f9B37EebEa38eBF513Abb,71.23196682
markop,0xF27838B0c3bA2eEe13B6eD3Fe13a90ef7b57a2cc,71.16759279
nebs-dev,0x16E26789b4052815d450043A637b368bfB3ea63A,59.248647
eduardovegap,0x1d921dff757610FbDB0073479e12c0a07d382677,59.02574823
iviangita,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,53.8121826
mendesfabio,0xE64F06F695De4C4E21BA8F383a2675Fd884Ac720,53.5867461
chuygarcia92,0xB22981bA3FE1De2325935c91a3B717168fB86714,50.20203876
kevinknielsen,,45.40307151
ygg-anderson,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,42.88498563
mount-manu,0xa2ef65aEcecb83cd1bD3579A8669779099317952,39.70955367
natesuits,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,38.71659657
freedumbs00,,34.98209217
gideonro,0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53,33.71597898
santigs,0x9194b1713A8E07Bc47B90Fb7937E28e09b6cd100,33.48327165
natenatesoo,0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,28.03248071
pmespresso,,24.93454287
suga,0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,24.25087081
fabriziovigevani,,21.47435399
hernandoagf,,21.28157898
rperez89,,20.55993319
jeffemmett,0x778549Eb292AC98A96a05E122967f22eFA003707,19.31177722
laurenluz,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,18.80752663
ddan,0x94860EA6872d863E91f3Ce3f8cF574Ef0859620b,17.93113859
pjcolombo,,17.58967151
mateo-daza,0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,17.33775472
angeldebenji,,17.32964074
tylerboardroom,,16.96412754
tonga,0x6F4A8930Ef9C175eC0F3F63A97686d5c505e0E32,16.74954386
solsista,0x949Bba9F1C13F2461835366AEBcb53c852dd4308,15.88380079
zxqx,,15.27072026
crisog,,14.58674017
akrtws,0x852B8763ECB27bEdDC190d1792029bc17FD5439a,13.79171262
sudheerdev,,13.68680198
cranders1,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,11.38616335
hurek,,11.13321818
blazingthirdeye,,11.47081245
jds3d,,10.49489021
linuxiscool,0x763d7D362B59aeA3858a92a302e18cd41b1252d4,10.4817524
willjgriff,,10.33051855
graial,0x05a45e7416C77C822e24e9679af29D1f07589b40,10.25416085
mrsbadgerface,0x8041748a2A16e9B7A3980107f4376774421642c8,12.08517885
tree-pi,0x1f83A7b86480E6142A85558Ef6999f6091041906,8.860652823
gene,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,8.341344705
vivianedias,,8.009087298
yarode,,7.96057179
octopus,0x77d40c87D423eFb7ec576e80998A48377Adf86dF,7.941369921
wslyvh,0x8289432ACD5EB0214B1C2526A5EDB480Aa06A9ab,7.629195885
al0ysi0us,0x1c1BFC1763C8E88FcccE1B57eEfc79a461FA4944,9.265063986
maghaali,,6.815028006
hozzjss,0xC19A8A1E9f2059138A3D11a7335FD215694e088a,6.213208716
heater,0x57F540a736a647EF2d2Ef9Cd823C4a4e655858a4,6.207518355
nickmartitsch,,6.16861905
innov8tor3,0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253,5.643645735
vercel,,5.611389036
mzargham,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,7.320946779
big-gray-al,0x05a45e7416C77C822e24e9679af29D1f07589b40,5.536192236
naomi-lgbt,,5.528414763
paulo-,,5.368299225
netlify,,5.324737848
costa,0x741670C5085Da689944FAA9543E9aB610a00A06d,5.283356799
rosamoc,,5.173964004
cfwhisperer,0x457Ea659aAAbD496550264c6d9d6351666f2fB4b,5.044907748
metaverde,0x8Aac40061E258d6e45Fd13E214710ABDF356285a,5.036966823
evalir,,4.900360257
durgadas,0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,4.880225805
anthonyoliai,,4.813629336
tangbaifeng,,4.773046878
letty,0x66D9dfddC3AD45d6383D5B9e9354F60Bc9D16A8e,4.588266927
tannr,,4.520064966
kojak,0xe3181f4596509af72d684D89947DF309f41F65FF,4.389674454
krisjpi,0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,4.34326746
