USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,215.39624975327328,0.0,0.0,0.0,215.39624975327328
itsyaboi#2591,0xf4d58d9afee8a9851cd42b84ce2204604967ebe4,149.807750509902,0.0,0.0,0.0,149.807750509902
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,126.92398184091061,0.0,0.0,0.0,126.92398184091061
miguelb#5176,0x7311b7bf2f004b8070efaf4a130348eeb18ef369,124.9720376340549,0.0,0.0,0.0,124.9720376340549
r-x-x#8344,0x1409a9ef3450d5d50aad004f417436e772fbf8fc,92.83637081386935,0.0,0.0,0.0,92.83637081386935
BiancaGadelha#2667,0x1375847014ba64517210cbfe185808232cf45d4a,90.45595104941117,0.0,0.0,0.0,90.45595104941117
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,85.21902756760315,0.0,0.0,0.0,85.21902756760315
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,83.74316731363906,0.0,0.0,0.0,83.74316731363906
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,77.76037897230083,0.0,0.0,0.0,77.76037897230083
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,69.42890979669716,0.0,0.0,0.0,69.42890979669716
akrtws (TE Academy)#4246,0xa26d6aeb775a9528c012b748ace66e3b0fd574ce,69.42890979669716,0.0,0.0,0.0,69.42890979669716
ddan#2489,0x94860ea6872d863e91f3ce3f8cf574ef0859620b,61.097440621093504,0.0,0.0,0.0,61.097440621093504
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,61.0974406210935,0.0,0.0,0.0,61.0974406210935
alantv#0964,0x1e655feec2767b4c6409ccffa76d7560da11f2cb,53.95618132771894,0.0,0.0,0.0,53.95618132771894
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,30.151983683137054,0.0,0.0,14.07,44.221983683137054
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,10.31515231265215,32.233090909090905,81.0,0.0,42.54824322174306
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,37.29324297651162,0.0,0.0,0.0,37.29324297651162
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,35.30955983946313,0.0,0.0,0.0,35.30955983946313
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,0.0,34.620727272727265,87.0,0.0,34.620727272727265
Maxwe11#7157,0x3f20a6fe04b3a4b37bbbbea826ae23be56baed74,0.0,34.22278787878788,86.0,0.0,34.22278787878788
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,33.32587670241464,0.0,0.0,0.0,33.32587670241464
bdegraf#7201,missing user address,32.13566682018555,0.0,0.0,0.0,32.13566682018555
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,0.0,30.24339393939394,76.0,0.0,30.24339393939394
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,24.200934271991585,0.0,0.0,0.0,24.200934271991585
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,23.169419040726368,0.0,0.0,0.0,23.169419040726368
withinthevacuum#2626,0x405bb3cdf23833bb27bad6629b7cd4f01688235f,17.853148233436414,0.0,0.0,0.0,17.853148233436414
SatoriD#2945,0xee9f5ab4faecbe30012f675bb938031bc51bb49b,17.853148233436414,0.0,0.0,0.0,17.853148233436414
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,3.173893019277585,0.0,0.0,14.07,17.243893019277586
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,15.472728468978223,0.0,0.0,0.0,15.472728468978223
angieberry.eth#9822,0xc163041d404e7657530491577665e40da84c9bd7,15.472728468978223,0.0,0.0,0.0,15.472728468978223
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,14.07,14.07
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,14.07,14.07
stellaachenbach#2991,0xd2bc5cb641ae6f7a880c3dd5aee0450b5210be23,13.489045331929734,0.0,0.0,0.0,13.489045331929734
elzenteno#1251,0xe77e4c796faedee124a490a2f02ab17be383fbed,7.5379959207842635,0.0,0.0,0.0,7.5379959207842635
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,6.34778603855517,0.0,0.0,0.0,6.34778603855517
Lana96#0822,missing user address,3.173893019277585,0.0,0.0,0.0,3.173893019277585
