index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
326,621f79e243b89009366c8922,2021-08-12T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for handling the Trusted Seed and because he knows everyone in the Hatch,3.0,144,34.0,,,621f79e243b89009366c88e6,False,False,False,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,50.13,141.0
189,621f79e143b89009366c880e,2021-08-05T22:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for coming up with the idea of the TEC Hatch Bot NFT giveaway,3.0,144,8.0,,,,False,False,False,PhilH#1102,Mount Manu#3530,calazki#3961,51.67,141.0
347,621f79e243b89009366c8937,2021-08-12T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for curating the Trusted Seed,3.0,144,34.0,,621f79e243b89009366c8922,621f79e243b89009366c88e6,False,False,False,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,6.93,141.0
831,621f79e243b89009366c8b7c,2021-08-26T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for taking on the One-Time Change of TECH Address and Initial Buy into the Bonding Curve proposals and really diving into Hatch governance,21.0,144,8.0,,,,False,False,False,AmwFund#0979,Mount Manu#3530,calazki#3961,57.67,136.0
788,621f79e243b89009366c8b46,2021-08-23T22:00:00.000Z,🐙 octopus#5508,liviade#1387,"for being so generous with his time, for being genuinely passioned about what he does and for helping me put the reward system proposal together, mostly leading the way and laying options out with great didactic",144.0,8,13.0,,,,False,False,False,innov8tor3#3988,Mount Manu#3530,Mettodo#7010,55.0,136.0
290,621f79e243b89009366c88fc,2021-08-11T22:00:00.000Z,VitorNunes#0090,karmaticacid#1218,"for taking on project management position, for being a fantrastic dev, great communicator and all his work on the CCD",34.0,144,13.0,,,,False,False,False,teaci#6108,Vyvy-vi#5040,kristofer#1475,63.67,131.0
252,621f79e143b89009366c88c1,2021-08-09T22:00:00.000Z,shawn#7046,iviangita#3204,for reaching out to translate some TEC articles and introduce TEC in Chinese community 🙏🏼,13.0,144,34.0,,,,False,False,False,osycross(🦎🦎)#5943,Parrachia#0450,Usua◎ Silver#2618,63.67,131.0
581,621f79e243b89009366c8a38,2021-08-19T22:00:00.000Z,VitorNunes#0090,iviangita#3204,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",13.0,144,34.0,,,,False,False,False,teaci#6108,Vyvy-vi#5040,kristofer#1475,63.67,131.0
39,621f79e143b89009366c8774,2021-08-02T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for creating the Hatch tutorial and bridge videos 🙌,21.0,144,21.0,,,,False,False,False,AmwFund#0979,Mount Manu#3530,calazki#3961,62.0,123.0
185,621f79e143b89009366c880a,2021-08-05T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for slaying with the forum posts ✍🏻,1.0,5,89.0,,,,False,False,False,PhilH#1102,acidlazzer#5796,calazki#3961,31.67,88.0
