,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
8,159,632f78387513583493d90085,2022-09-24T21:35:52.195Z,enti#1546,bear100#9085,for the great Twitter space in Spanish where they talked about relevant topics for the TEC in a clear and interesting way while gathering a good number of listenerers!,0,0,0.0,632239647513583493d8f990,miguelb#5176,missgene#7773,hanners717#2022,divine_comedian#5493,8.63,55.0,False,for the great Twitter space in Spanish where they talked about relevant topics for the TEC in a clear and interesting way while gathering a good number of listenerers!
10,138,632ca70f7513583493d8ff63,2022-09-22T18:18:55.569Z,chuygarcia.eth#6692,enti#1546,for a very successful TE in Spanish Twitter Space! 60+ attendees 🤯,0,0,0.0,632235e77513583493d8f981,miguelb#5176,Mount Manu#3530,hanners717#2022,divine_comedian#5493,10.5,55.0,False,for a very successful TE in Spanish Twitter Space! 60+ attendees 🤯
12,161,632f78397513583493d90093,2022-09-24T21:35:53.054Z,chuygarcia.eth#6692,bear100#9085,for the great Twitter space in Spanish where they talked about relevant topics for the TEC in a clear and interesting way while gathering a good number of listenerers!,632ca70f7513583493d8ff63,0,0.0,632235e77513583493d8f981,miguelb#5176,Mount Manu#3530,hanners717#2022,divine_comedian#5493,9.0,55.0,False,for the great Twitter space in Spanish where they talked about relevant topics for the TEC in a clear and interesting way while gathering a good number of listenerers!
15,13,6323873f7513583493d8fa09,2022-09-15T20:12:47.953Z,eduardovegap#0422,HAshBrown27#9835,Thank you for a great orientation session. Very welcoming and inspired me to want to dive in.,0,6323618a7513583493d8f9dc,0.0,6323618a7513583493d8f9dc,natesuits#4789,missgene#7773,teaci#6108,divine_comedian#5493,4.75,55.0,False,Thank you for a great orientation session. Very welcoming and inspired me to want to dive in.
19,8,632239647513583493d8f99e,2022-09-14T20:28:20.732Z,chuygarcia.eth#6692,acidlazzer#5796,for hosting the first Token Engineering twitter space in spanish and share about it with the spanish speaker community 💖💖,632235e77513583493d8f981,0,0.0,632235e77513583493d8f981,miguelb#5176,Mount Manu#3530,hanners717#2022,divine_comedian#5493,6.83,55.0,False,for hosting the first Token Engineering twitter space in spanish and share about it with the spanish speaker community 💖💖
21,174,6330b69a7513583493d9012e,2022-09-25T20:14:18.234Z,r-x-x#8344,enti#1546,for showing me some of the analysis he's doing on Praise and letting me play with it 👾,0,6330b6537513583493d9011f,0.0,0,miguelb#5176,missgene#7773,teaci#6108,divine_comedian#5493,10.63,34.0,False,for showing me some of the analysis he's doing on Praise and letting me play with it 👾
28,163,632f79647513583493d900b1,2022-09-24T21:40:52.434Z,richa#0775,bear100#9085,"for all her efforts in driving and managing the content curation initiative with enthusiasm, clarity and effectiveness",632ca5e27513583493d8fd60,0,0.0,632ca5e27513583493d8fd60,miguelb#5176,Mount Manu#3530,teaci#6108,divine_comedian#5493,5.63,34.0,False,"for all her efforts in driving and managing the content curation initiative with enthusiasm, clarity and effectiveness"
36,166,632f79e37513583493d900ce,2022-09-24T21:42:59.261Z,acidlazzer#5796,bear100#9085,for the efforts in promoting the Gitcoin Grant 15 with good results and in a short period of time,632ca8997513583493d8ffad,0,0.0,0,natesuits#4789,Mount Manu#3530,hanners717#2022,divine_comedian#5493,14.03,21.0,False,for the efforts in promoting the Gitcoin Grant 15 with good results and in a short period of time
39,164,632f79e27513583493d900c0,2022-09-24T21:42:58.809Z,enti#1546,bear100#9085,for the efforts in promoting the Gitcoin Grant 15 with good results and in a short period of time,0,632ca2cd7513583493d8fcbf,0.0,0,miguelb#5176,missgene#7773,hanners717#2022,divine_comedian#5493,9.45,21.0,False,for the efforts in promoting the Gitcoin Grant 15 with good results and in a short period of time
66,7,632239647513583493d8f997,2022-09-14T20:28:20.372Z,Mount Manu#3530,acidlazzer#5796,for hosting the first Token Engineering twitter space in spanish and share about it with the spanish speaker community 💖💖,632235e77513583493d8f97a,632235e77513583493d8f97a,0.0,632235e77513583493d8f97a,natesuits#4789,missgene#7773,hanners717#2022,Maxwe11#7157,4.3,21.0,False,for hosting the first Token Engineering twitter space in spanish and share about it with the spanish speaker community 💖💖
