USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,363.7472454300284,12.764233576642335,261.0,0.0,376.5114790066707
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,302.8982854496703,11.932846715328465,244.0,0.0,314.8311321649988
Griff 🔥AFK till Sept 15🔥#8888,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,236.81787787976003,13.057664233576642,267.0,0.0,249.87554211333668
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,210.39920810726602,0.0,0.0,15.075,225.474208107266
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,181.34935351810313,8.362773722627736,171.0,0.0,189.71212724073087
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,152.7773850601728,0.0,0.0,15.075,167.8523850601728
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,116.25564025444372,14.524817518248174,297.0,15.075,145.8554577726919
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,122.78581368299271,13.791240875912408,282.0,0.0,136.5770545589051
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,126.53300317083423,0.0,0.0,0.0,126.53300317083423
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,103.07441631709274,7.873722627737226,161.0,0.0,110.94813894482996
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,109.2419585048829,0.0,0.0,0.0,109.2419585048829
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,92.98258566341606,0.0,0.0,0.0,92.98258566341606
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,92.46534420372902,0.0,0.0,0.0,92.46534420372902
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,88.20091325620045,0.0,0.0,0.0,88.20091325620045
karmaticacid | AFK til Sept 12#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,81.74945048456034,0.0,0.0,0.0,81.74945048456034
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,60.99794800950706,0.0,0.0,15.075,76.07294800950706
pKrepe#5682,0xb46a595c65f62236eb7934b43397e0a05ea33c10,70.62032581661995,0.0,0.0,0.0,70.62032581661995
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,52.64056290271576,11.835036496350364,242.0,0.0,64.47559939906613
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,50.082466553176545,0.0,0.0,0.0,50.082466553176545
ZER8🧠#9093,0x8758e5741de847363dd2715a62431cc0cbda4ca6,49.94191180869637,0.0,0.0,0.0,49.94191180869637
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,30.907988311190845,0.0,0.0,15.075,45.982988311190844
"sem(🌸,🐝)#0161",0x970f31ffc1429c75b0bc56c42e92a58198e858cf,43.29086129989441,0.0,0.0,0.0,43.29086129989441
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,41.63793750480753,0.0,0.0,0.0,41.63793750480753
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,41.08696290644524,0.0,0.0,0.0,41.08696290644524
Jolie_Ze#0295,missing user address,33.11469779952962,0.0,0.0,0.0,33.11469779952962
David (please DYOR...)#4116,missing user address,30.983887873210143,0.0,0.0,0.0,30.983887873210143
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,27.829839407074978,0.0,0.0,0.0,27.829839407074978
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,25.786173422333206,0.0,0.0,0.0,25.786173422333206
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,25.510686123152063,0.0,0.0,0.0,25.510686123152063
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,23.776240576266684,0.0,0.0,0.0,23.776240576266684
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,22.544981014620333,0.0,0.0,0.0,22.544981014620333
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,22.353826562127296,0.0,0.0,0.0,22.353826562127296
graial#0787,0x05a45e7416c77c822e24e9679af29d1f07589b40,21.92654013890756,0.0,0.0,0.0,21.92654013890756
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,21.18722218294183,0.0,0.0,0.0,21.18722218294183
LBS#6541,0x328713d71ce23228d35263ca760984753d08bb59,20.445093132086495,0.0,0.0,0.0,20.445093132086495
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,8.644116785530864,11.297080291970802,231.0,0.0,19.941197077501666
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,8.736882916887781,10.661313868613139,218.0,0.0,19.39819678550092
VitorNunes#0090,missing user address,19.37406597914755,0.0,0.0,0.0,19.37406597914755
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,19.033923497505523,0.0,0.0,0.0,19.033923497505523
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,15.787108900013441,0.0,0.0,0.0,15.787108900013441
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,1.144115620068638,14.32919708029197,293.0,0.0,15.473312700360607
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,15.075,15.075
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,15.075,15.075
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,15.075,15.075
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,14.671532846715326,300.0,0.0,14.671532846715326
casale.eth#6107,0x29ffebca51ecd940cb37ef91ff83cd739553b93e,14.586771382152733,0.0,0.0,0.0,14.586771382152733
elessar.eth#7945,missing user address,14.33658393697802,0.0,0.0,0.0,14.33658393697802
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,14.035766423357664,287.0,0.0,14.035766423357664
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,13.546715328467151,277.0,0.0,13.546715328467151
hz#8826,0xc19a8a1e9f2059138a3d11a7335fd215694e088a,13.341456346058369,0.0,0.0,0.0,13.341456346058369
Pythagorean#5361,missing user address,12.872003499494578,0.0,0.0,0.0,12.872003499494578
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,2.10832116720265,10.75912408759124,220.0,0.0,12.867445254793891
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,0.0,12.862043795620437,263.0,0.0,12.862043795620437
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,0.0,12.421897810218978,254.0,0.0,12.421897810218978
missgene#7773,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,0.0,12.324087591240875,252.0,0.0,12.324087591240875
