,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
0,0,handl trust seed know everyon hatch,for handling the Trusted Seed and because he knows everyone in the Hatch,50.13,DanKnobelsdorf#0326,2021-08-12T22:00:00.000Z,
1,1,come idea tec hatch bot nft giveaway,for coming up with the idea of the TEC Hatch Bot NFT giveaway,51.67,"sem(🌸,🐝)#0161",2021-08-05T22:00:00.000Z,
2,2,curat trust seed,for curating the Trusted Seed,6.93,DanKnobelsdorf#0326,2021-08-12T22:00:00.000Z,
3,3,take one time chang tech address initi buy bond curv propos realli dive hatch govern,for taking on the One-Time Change of TECH Address and Initial Buy into the Bonding Curve proposals and really diving into Hatch governance,57.67,Zeptimus#3359,2021-08-26T22:00:00.000Z,
6,6,reach translat tec articl introduc tec chines commun 🙏🏼,for reaching out to translate some TEC articles and introduce TEC in Chinese community 🙏🏼,63.67,shawn#7046,2021-08-09T22:00:00.000Z,
8,8,creat hatch tutori bridg video 🙌,for creating the Hatch tutorial and bridge videos 🙌,62.0,Zeptimus#3359,2021-08-02T22:00:00.000Z,
9,9,slay forum post ✍🏻,for slaying with the forum posts ✍🏻,31.67,divine_comedian#5493,2021-08-05T22:00:00.000Z,
11,11,tec unconfer video,for TEC unconference video,8.97,chuygarcia.eth#6692,2021-08-11T22:00:00.000Z,
12,12,tec unconfer aftermovi great photo pari 🤩,for the TEC Unconference Aftermovie and all the great photos from Paris 🤩,42.67,chuygarcia.eth#6692,2021-08-05T22:00:00.000Z,
19,19,tec unconfer video,for the TEC Unconference video,11.63,chuygarcia.eth#6692,2021-08-12T22:00:00.000Z,
21,21,take week vacay,for taking a week of vacay,18.6,liviade#1387,2021-08-26T22:00:00.000Z,
26,26,super cool http nft tecommon org ,for the super cool https://nft.tecommons.org/,30.67,elessar.eth#7945,2021-08-05T22:00:00.000Z,
29,29,repres te common cryptocommonsgath  http www crypto common org ccg ,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,22.0,JessicaZartler#2263,2021-08-29T22:00:00.000Z,
33,33,common config dashboard stuff,for all the commons config dashboard stuff,22.0,karmaticacid#1218,2021-08-26T22:00:00.000Z,
35,35,governaut research project,for the governauts research project,37.67,JessicaZartler#2263,2021-08-12T22:00:00.000Z,
46,46,time get involv dashboard,for their time getting involved in the dashboard,5.17,Nuggan#5183,2021-08-26T22:00:00.000Z,
48,48,develop ninja,for being our developer ninjas,27.0,fabiomendes#4802,2021-08-26T22:00:00.000Z,
56,56,push realli cool graphic demand youtub video,for pushing out really cool graphics on demand and for the Youtube videos,3.93,acidlazzer#5796,2021-08-26T22:00:00.000Z,
64,64,prais debat summari forum post summar everyth clean concis,for praise debate summary forum post - summarizing everything so clean and concise,5.2,divine_comedian#5493,2021-08-11T22:00:00.000Z,
68,68,sort trust seed applic verifi peopl 💜,for sorting through all the Trusted Seed applications and verifying people 💜,32.33,DanKnobelsdorf#0326,2021-08-11T22:00:00.000Z,
76,76,forum post summaris recent prais debat vote outcom,for his forum post summarising the recent praise debate and voting outcome,6.87,divine_comedian#5493,2021-08-11T22:00:00.000Z,
78,78,hold fort suga loop,for holding down the fort for Suga when she was out of the loop,27.0,natesuits#4789,2021-08-12T22:00:00.000Z,
85,85,qa dashboard,for doing the QA on the dashboard,27.0,karmaticacid#1218,2021-08-26T22:00:00.000Z,
86,86,review code mount manu user feedback proactiv search collabor possibl,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,34.0,elessar.eth#7945,2021-08-04T22:00:00.000Z,
87,87,review code mount manu user feedback proactiv search collabor possibl,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,29.67,markop#2007,2021-08-04T22:00:00.000Z,
89,89,super cool http nft tecommon org ,for the super cool https://nft.tecommons.org/,9.97,"sem(🌸,🐝)#0161",2021-08-05T22:00:00.000Z,
92,92,care engag,for care and engagement,11.67,iviangita#3204,2021-08-12T22:00:00.000Z,
94,94,best prais giver ,for be the best praise giver!,3.8,iviangita#3204,2021-08-26T22:00:00.000Z,
96,96,initi orient,for the initiatives in the orientation,14.33,eduardovegap#0422,2021-08-26T22:00:00.000Z,
100,100,progress graviti wg 👨🏻‍🚀,for all his progress with the Gravity WG 👨🏻‍🚀,4.13,Juankbell#7458,2021-08-19T22:00:00.000Z,
104,104,orient stuff,for orientation stuff,1.73,eduardovegap#0422,2021-08-26T22:00:00.000Z,
105,105,educ chuy cataluña conflict 👨🏻‍🏫,for educating Chuy on the Cataluña conflict 👨🏻‍🏫,12.67,santigs#9769,2021-08-05T22:00:00.000Z,
107,107,best prais giver ,for being the best praise giver!,16.0,iviangita#3204,2021-08-05T22:00:00.000Z,
111,111,reach soft commit hatcher,for reaching out to soft-commit Hatchers,12.77,"griff (💜, 💜)#8888",2021-08-05T22:00:00.000Z,
112,112,take time told inspir take look need rest,for taking time off - she told me and now I am inspired to take a look at my own need for rest,15.0,liviade#1387,2021-08-25T22:00:00.000Z,
118,118,build ccd 🦾,for building the CCD! 🦾,13.47,fabiomendes#4802,2021-08-19T22:00:00.000Z,
124,124,great chat suga regard wxdai troubleshoot 🩺,for a great chat with Suga regarding wxDAI troubleshooting 🩺,15.0,freshelle#9882,2021-08-19T22:00:00.000Z,
131,131,jump tec case studi,for jumping in the TEC Case Study,15.67,natesuits#4789,2021-08-26T22:00:00.000Z,
133,133,review code mount manu user feedback proactiv search collabor possibl,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,17.33,VitorNunes#0090,2021-08-04T22:00:00.000Z,
135,135,take role manag param,for taking the role of managing the params,24.33,VitorNunes#0090,2021-08-12T22:00:00.000Z,
139,139,new propos hatch dao,for the new proposals for the Hatch DAO,15.67,Juankbell#7458,2021-08-26T22:00:00.000Z,
141,141,mint nft push forward idea look cool http v uniqu one token fbd dd f fbd xcdbbddbaebdcfefeedb,for minting the NFTs and pushing forward the idea... these look so cool: https://v2.unique.one/token/3f17bd14-4d1d-4f87-a039-952f8b024d25/0xc9D1B08bdD82B0a0E59Bd8675CF4Ef880E5e11db,15.67,santigs#9769,2021-08-02T22:00:00.000Z,
143,143,trust seed garden care everyon ts,for being the Trusted Seed Gardener and caring for everyone in the TS,24.33,DanKnobelsdorf#0326,2021-08-26T22:00:00.000Z,
145,145,technic feedback insight propos specif  govern right,for his technical feedback and insights on the proposals specifically the 75% governance rights,20.0,"sem(🌸,🐝)#0161",2021-08-26T22:00:00.000Z,
146,146,hold fort suga loop,for holding down the fort for Suga when she was out of the loop,15.67,durgadas#9280,2021-08-12T22:00:00.000Z,
148,148,\ abstract complex non crypto natives\ forum post,"for the \""Abstracting complexity for non crypto-natives\"" forum post",17.33,NaN#6925,2021-08-26T22:00:00.000Z,
154,154,governaut research project,for the governauts research project,14.67,liviade#1387,2021-08-12T22:00:00.000Z,
156,156,super cool http nft tecommon org ,for the super cool https://nft.tecommons.org/,24.33,fabiomendes#4802,2021-08-05T22:00:00.000Z,
168,168,take what’ next hatch post comm commun lauren,for taking on the What’s Next? Hatch post for comms and communicating with Lauren about it,18.33,natesuits#4789,2021-08-19T22:00:00.000Z,
170,170,alway around tec group give feedback pari eduardo prais ,for always being around the TEC group and giving feedback in Paris (Eduardo's praise),18.33,akrtws (TE Academy)#4246,2021-08-05T22:00:00.000Z,
172,172,push commun blog post even middl fire situat,for pushing the community blog post even being in the middle of a fire situation,18.33,Suga#8514,2021-08-05T22:00:00.000Z,
174,174,build ccd 🦾,for building the CCD! 🦾,8.13,Nuggan#5183,2021-08-19T22:00:00.000Z,
175,175,build ccd 🦾,for building the CCD! 🦾,10.8,VitorNunes#0090,2021-08-19T22:00:00.000Z,
178,178,super cool http nft tecommon org ,for the super cool https://nft.tecommons.org/,14.27,santigs#9769,2021-08-05T22:00:00.000Z,
180,180,accept process trace propos 🥳 confetti  respons propos absolut made day thankyou  ,for accepting and processing my Trace proposal. 🥳 <a:confetti:788963579512356895>  Your response to the proposal absolutely made my day!!! <:ThankYou:753828947460096054>,25.33,freshelle#9882,2021-08-19T22:00:00.000Z,
188,188,organ graviton session suggest content date provid read materi allow everyon particip invit peopl train diversifi approach alway think best everyon mind integr construct feedback ,"for organizing all the Graviton session with suggested content and date, providing reading materials, for allowing everyone to participate, for inviting more people to this training and diversifying the approaches, for always thinking about what is best for everyone and being very mindful of integrating constructive feedback!",22.67,Juankbell#7458,2021-08-18T22:00:00.000Z,
204,204,forum post,for forum posting,2.37,divine_comedian#5493,2021-08-26T22:00:00.000Z,
211,211,forc te carri token engin forward,for being so forceful in TE and carrying token engineering forward,11.67,akrtws (TE Academy)#4246,2021-08-26T22:00:00.000Z,
215,215,speak truth power sourcecr forum grace precis,for speaking truth to power in the sourcecred forum with grace and precision,9.0,ALOYSIOUS#3049,2021-08-30T22:00:00.000Z,
218,218,youtub channel graviti,for Youtube channel and Gravity,2.03,acidlazzer#5796,2021-08-05T22:00:00.000Z,
222,222,special particip ethcc aftermovi 😍 http www youtub com watch v jbevphpcx,"for his special participation in the ethcc aftermovie 😍 
https://www.youtube.com/watch?v=jbevpH2Pcxs",11.67,divine_comedian#5493,2021-08-04T22:00:00.000Z,
223,223,creat graphic hatcher outreach,for creating the graphic for Hatchers Outreach,11.67,acidlazzer#5796,2021-08-12T22:00:00.000Z,
224,224,around time,for being around all the time,11.67,David (please DYOR...)#4116,2021-08-26T22:00:00.000Z,
226,226,meet eduardo person,for meeting Eduardo in person,9.0,santigs#9769,2021-08-05T22:00:00.000Z,
227,227,introduc peopl common take time show folk around orient,for introducing people to the commons and taking the time to show folks around and orient them,9.0,ALOYSIOUS#3049,2021-08-30T22:00:00.000Z,
231,231,meet eduardo person,for meeting Eduardo in person,7.67,Tam2140#9361,2021-08-05T22:00:00.000Z,
233,233,meet eduardo person,for meeting Eduardo in person,11.67,chuygarcia.eth#6692,2021-08-05T22:00:00.000Z,
234,234,get ts applic super quickli could part hatch,for getting their TS application in super quickly so that they could be a part of the hatch,9.0,ALOYSIOUS#3049,2021-08-11T22:00:00.000Z,
235,235,give us nice easi intro # #agreements refresh ,for giving us a nice easy intro to <#810180622634844205> and the #agreements refresh ...,2.7,anna-marie#8824,2021-08-30T22:00:00.000Z,
242,242,close chapter hatcher outreach much admir dear edu ,"for closing a chapter in hatcher outreach, much admiration dear edu!",4.37,eduardovegap#0422,2021-08-11T22:00:00.000Z,
