,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
15,191,628bd22290ff2413f6a06e78,2022-05-23T18:27:46.684Z,Tam2140#9361,acidlazzer#5796,for being judges at the ETH Global Hackaton 😎,True,False,True,False,AmwFund#0979,boonjue.eth#7124,zhiwei#1356,osycross(🦎🦎)#5943,19.0,55.0,False,for being judges at the ETH Global Hackaton 😎
29,245,628fc24890ff2413f6a06fb1,2022-05-26T18:09:12.744Z,pat.zip (TE Academy)#5266,Juankbell#7458,for preparing a introduction to TE in spanish for the 10th of june!,False,False,True,False,tigeroid#2951,Vyvy-vi#5040,liviade#1387,osycross(🦎🦎)#5943,1.25,34.0,False,for preparing a introduction to TE in spanish for the 10th of june!
73,230,628ea77c90ff2413f6a06f56,2022-05-25T22:02:36.417Z,acidlazzer#5796,BiancaGadelha#2667,for sharing our mental health conversation event on TEC twitter,True,False,False,False,AmwFund#0979,innov8tor3#3988,liviade#1387,divine_comedian#5493,3.27,21.0,False,for sharing our mental health conversation event on TEC twitter
88,229,628ea67f90ff2413f6a06f4f,2022-05-25T21:58:23.055Z,acidlazzer#5796,BiancaGadelha#2667,for sharing our mental health conversation on TEC twitter,False,False,True,True,AmwFund#0979,innov8tor3#3988,liviade#1387,divine_comedian#5493,6.5,21.0,False,for sharing our mental health conversation on TEC twitter
145,259,628fcb4c90ff2413f6a07005,2022-05-26T18:47:40.610Z,daniela afanador#9245,Zeptimus#3359,for hacking in LA POBLA 🧙‍♂️,True,False,False,False,AmwFund#0979,Vyvy-vi#5040,liviade#1387,divine_comedian#5493,4.25,13.0,False,for hacking in LA POBLA 🧙‍♂️
183,172,62879b5690ff2413f6a06df8,2022-05-20T13:44:54.921Z,Mount Manu#3530,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,True,True,pat.zip (TE Academy)#5266,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,2.0,8.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
198,170,62879b5690ff2413f6a06df0,2022-05-20T13:44:54.171Z,GideonRo#3175,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,True,False,True,True,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,2.0,8.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
208,330,6290ea7a90ff2413f6a07196,2022-05-27T15:12:58.698Z,Juankbell#7458,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,True,False,False,False,pat.zip (TE Academy)#5266,innov8tor3#3988,teaci#6108,osycross(🦎🦎)#5943,4.33,8.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!
210,327,6290ea7990ff2413f6a0718a,2022-05-27T15:12:57.592Z,GideonRo#3175,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,True,False,True,True,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,2.0,8.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!
244,144,6286898c90ff2413f6a06d7c,2022-05-19T18:16:44.912Z,JessicaZartler#2263,Tam2140#9361,for checkin in on me with such love and care,True,False,False,False,AmwFund#0979,Vyvy-vi#5040,liviade#1387,osycross(🦎🦎)#5943,3.25,5.0,False,for checkin in on me with such love and care
249,328,6290ea7990ff2413f6a0718e,2022-05-27T15:12:57.794Z,kristofer#1475,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,True,False,False,False,pat.zip (TE Academy)#5266,Vyvy-vi#5040,teaci#6108,osycross(🦎🦎)#5943,2.0,5.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!
258,38,62834b8490ff2413f6a06ac6,2022-05-17T07:15:16.421Z,GideonRo#3175,r-x-x#8344,last week's praises from my part !!,False,False,True,False,tigeroid#2951,innov8tor3#3988,liviade#1387,Usua◎ Silver#2618,2.25,5.0,False,last week's praises from my part !!
259,174,62879b5790ff2413f6a06e00,2022-05-20T13:44:55.744Z,JessicaZartler#2263,freshelle#9882,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,False,False,True,False,AmwFund#0979,Vyvy-vi#5040,liviade#1387,osycross(🦎🦎)#5943,1.75,5.0,False,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏
