name,address,vested_amount
mertozdal,0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff,1.111719661
santteegt,0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,0.905194895
thelastjosh,,0.8967275608
andrewpenland,0x77d40c87D423eFb7ec576e80998A48377Adf86dF,0.8898422155
kzflyer,0x343EF442adD9bd565D51b606f444F9221AD0Aeb6,1.12363083
carlgocht,,0.8631196311
geleeroyale,0x701d0ECB3BA780De7b2b36789aEC4493A426010a,0.7679753653
mettodo,0x7710E7e881333Fd3396Ca5966BeD6E72746b612D,0.8118380368
credbot,,0.7113876946
bear100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,0.6921741363
system,,0.6605353768
bustavo,,0.7461211862
phil,,0.6470726739
foxdao,,0.6358036885
shermin,,0.6258852952
charliex,,0.5939401603
porobov-p,,0.5815388156
evo,,0.5602652097
paul2,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,0.5388998052
lkngtn,,0.5357676866
zer8,0x8758E5741dE847363dD2715a62431cc0cBda4cA6,0.5290144079
markatwork1,,0.508536602
eeli,,0.5063905663
tinahaibodi,,0.5009952895
costa91,0x741670C5085Da689944FAA9543E9aB610a00A06d,0.4982329083
zarmarquez,,0.6587112221
drat3,,0.468424642
twells,,0.4637346076
trentmc0,,0.4603600144
sichen,,0.4388935373
maxk,,0.4244879466
paula,,0.4228713961
bhargavkakadiya,,0.4149761552
vagpap,,0.412760341
manuelmaccou,,0.4028773347
nic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,0.3926785968
dependabot,,0.3859411233
renovate,,0.3739662933
regencrypto,,0.3627904984
klingefjord,,0.3374718917
getvested,,0.3374718915
jeverettnichol,,0.3374718915
vessenes,,0.3354178022
fioreb,,0.331773309
jme,0x6814A5e9D556C834Aec5293ed80748CD0F58bd14,0.3209547119
lescanore,,0.3208564742
vic,,0.3190438663
theode69,,0.3176445732
taz,,0.3150416602
renovate-bot,,0.3082570111
decentralizesdgs,,0.2996984148
merlin,,0.2990348167
twell-s,,0.2955825382
teresacd11,,0.285062025
jh-onchain,,0.263266327
randomshinichi,,0.2632285405
singularityhacker,,0.2473019366
moatazar,,0.2466056089
rex,,0.2445725568
willyogo,,0.2442930228
shbrennan,,0.2372222594
onbjerg,,0.2372222594
vasilysumanov,,0.2287178674
eenti,0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,0.2261493892
gijsio,,0.2205786944
danlessa,0x62e4851e88bEC4f5c5EE3Dd347F2C601A18AF1aF,0.2164635737
greenhornet,,0.2084141728
stef,0xB1A1225BCf9408f4a8C980F1858734ECb0d537b9,0.2019963148
bpierre,,0.1945038225
sidcode,0xd0ef3a2Ae7Fb496C0897400f1be46693B6183B0a,0.1893832585
neilkt,,0.1861607956
lbs,0x328713d71cE23228D35263cA760984753D08BB59,0.1829449704
ionneto,,0.1825271278
cleanapp,,0.1820436293
cryptographr,,0.178540011
pinkhoodie,,0.1778469956
befitsandpiper,,0.1778469237
kisgus,,0.1778469237
gconnect,,0.1778469237
brymut,,0.1778469237
cedrickxyz,,0.1778469237
github-actions,,0.1740843004
bearhub100,0x47a5BA5BE900fC22AD31BEC4c1ff54Df8e67cd70,0.1698383351
clara-zi,,0.1677868535
baartch,,0.1663651031
haxelax,,0.1660565426
boonjue,0xEf0391ccbebf15fc84334D9630255093754cDAAB,0.165493414
raul,,0.1644295556
catall,,0.1601103527
lexbirdie,,0.1591402864
tuath,,0.1559434146
crazykay,,0.1515072683
razga,,0.1508491447
saunic,0x88B353202e61fffeF56bbfbc2748839e7C707e9F,0.1486422399
ashleymaas,,0.1437625629
satorid,0xeE9f5aB4faeCBe30012f675Bb938031BC51bB49B,0.143621534
mquellhorst,,0.1433019955
wkarshat,,0.1431836183
papa-raw,0xC4d9d1a93068d311Ab18E988244123430eB4F1CD,0.1377849267
paulhaas,,0.2695514695
rubenr,,0.1319621232
mattyjee,0x182312C44a219fD492F3aE177D11120a3CcD2EF3,0.1318169674
paparaw,,0.1317429173
gcf,,0.1277004751
efra,0x438cDDcc8E6f0E0E18CE33F6b5a8fFCFAb5A999c,0.124855378
angelakte,,0.1234547957
emjicy,,0.1233028045
pacobacpac,,0.1222090454
bvalosek,,0.1185646158
aanunez,,0.1185646158
richa,,0.1160604508
pab,,0.1157941129
csggene3,0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B,0.1151451256
block007,,0.1137581342
ratio,,0.1090839807
curlybracketeffect,,0.1074769858
luisotravez,,0.1063360911
xm3van,,0.0965571303
kant,,0.09570294362
johannsuarez,,0.09468857792
jasontphelps,,0.09451264137
c0mput3rxz,,0.09221120446
teamyonks,,0.09187511031
ataberkcasur,,0.09023419167
t-rossi,,0.08854811678
domik20,,0.08853202549
maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,0.08774404548
dekanbro,,0.08686597895
marcodarko1,,0.08686597895
donkarabi,,0.08615420459
andy-hook,,0.08574226998
0xddde,,0.08520894637
farty,,0.08044935554
zion-code,,0.07993876974
harthor,,0.07829441514
sohkai,,0.07479886451
michael-a-heuer,,0.07039413374
prohg,,0.07014936277
ekeneodigwe,,0.06760760704
danibelle,,0.06381719493
danielo,,0.06010485891
ishanjain28,,0.05928230789
wirjo,,0.05928230789
seb-ethmonk,,0.05928230789
0xmodene,,0.05928230789
kristofernoaccess,0xa32aECda752cF4EF89956e83d60C04835d4FA867,0.05928230789
fabianschu,,0.05928230789
murphy,,0.05928230789
sepandhaghighi,,0.05928230789
erichdylus,,0.05928230789
p-murli,,0.05928230789
a-jwc,,0.05928230789
georgesmith9914,,0.05928230789
panteo92,,0.05928230789
brandoniles,,0.05928230789
manualzuru,,0.05803298833
biancagadelha,0x1375847014BA64517210cBFE185808232Cf45d4a,0.05366334821
mayasierra,,0.04432751238
roveneliah,,0.03772419472
kelsien,,0.03677729521
fobey123,,0.03548806892
tiberiusb,,0.03511904391
marc,,0.03423855297
guccukudo,,0.03372198329
maindefi,,0.03344480188
unclebimbim,,0.03319229241
tony888,,0.03296310676
anatech,,0.03225716783
rohekbenitez,0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0,0.03067150447
phacker3,,0.0305108939
radical-sociologist,,0.03041245235
joshuavial,,0.0203461565
patriciatea,0x9F6b969Ee3F9C2b0a528b3029049e34BBD4bdB49,0.01849551695
