ID,DATE,TO USER ACCOUNT,TO USER ACCOUNT ID,TO ETH ADDRESS,FROM USER ACCOUNT,FROM USER ACCOUNT ID,FROM ETH ADDRESS,REASON,SOURCE ID,SOURCE NAME,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 1 ETH ADDRESS,QUANTIFIER 2 USERNAME,QUANTIFIER 2 ETH ADDRESS,QUANTIFIER 3 USERNAME,QUANTIFIER 3 ETH ADDRESS,AVG SCORE,PERCENTAGE,TOKEN TO RECEIVE
621f79e243b89009366c8a37,2021-08-19T22:00:00.000Z,markop#2007,621f79cf95a79aa51435b3f9,0xF27838B0c3bA2eEe13B6eD3Fe13a90ef7b57a2cc,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,55,55,621f79e243b89009366c8965,,,False,False,False,AmwFund#0979,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,36.77,0.0037753051713569643,14.114355913635146
621f79e243b89009366c8a38,2021-08-19T22:00:00.000Z,VitorNunes#0090,621f79db95a79aa51435d7f5,,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,13,144,34,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,kristofer#1475,0xa32aECda752cF4EF89956e83d60C04835d4FA867,63.67,0.00653722274300511,24.440060946998905
621f79e243b89009366c8a39,2021-08-19T22:00:00.000Z,Nuggan#5183,621f79d095a79aa51435b634,0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,5,34,621f79e243b89009366c8a00,,,False,False,False,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Tamarandom#9361,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,bends#3537,0x1E975f53956d644868F3eA25690b1bbEda658565,14.13,0.0014507767764828366,5.4238740565587324
621f79e243b89009366c8a3a,2021-08-19T22:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,621f79ce95a79aa51435b223,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,34,34,,,,False,False,False,teaci#6108,0x1bE3505328880F1f204c664d430a9d2817d9D4cc,Vyvy-vi#5040,0x2fA130927814B590623031e846f059df9554FdDe,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,25.33,0.0026007201520389417,9.723052360412787
621f79e243b89009366c8a3b,2021-08-19T22:00:00.000Z,Mount Manu#3530,621f79cf95a79aa51435b361,0xa2ef65aEcecb83cd1bD3579A8669779099317952,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,21,13,621f79e243b89009366c88f1,,,False,False,False,PhilH#1102,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,Parrachia#0450,0xE42F8E2c4b778Fcd572C55e457ED77DB4cB20A69,divine_comedian#5493,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,11.6,0.0011910127818259661,4.452720386134557
621f79e243b89009366c8a3c,2021-08-19T22:00:00.000Z,pKrepe#5682,621f79dc95a79aa51435dd4f,0xb46a595C65F62236Eb7934b43397e0a05eA33c10,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,21,34,621f79e243b89009366c8a02,,,False,False,False,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,acidlazzer#5796,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,bends#3537,0x1E975f53956d644868F3eA25690b1bbEda658565,19.47,0.0019990533501854793,7.473660855003433
621f79e243b89009366c8a3d,2021-08-19T22:00:00.000Z,pKrepe#5682,621f79dc95a79aa51435dd4f,0xb46a595C65F62236Eb7934b43397e0a05eA33c10,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for the front end work on the dashboard,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,34,21,621f79e243b89009366c8a02,,,False,False,False,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,acidlazzer#5796,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,bends#3537,0x1E975f53956d644868F3eA25690b1bbEda658565,19.47,0.0019990533501854793,7.473660855003433
621f79e243b89009366c8a3e,2021-08-19T22:00:00.000Z,fabiomendes#4802,621f79db95a79aa51435daa3,0xE64F06F695De4C4E21BA8F383a2675Fd884Ac720,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for the front end work on the dashboard,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,0,3,34,621f79e243b89009366c88e0,,,False,False,False,Sha#6179,0x46D79ec988A2f603477e81Ff2C0C7EDeF3901145,Tamarandom#9361,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,13.47,0.001383012256137566,5.170529620795905
621f79e243b89009366c8a3f,2021-08-19T22:00:00.000Z,karmaticacid | AFK til Sept 12#1218,621f79ce95a79aa51435b26f,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for sharing the Giveth Covenant with Livia,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,55,8,1,,,,False,False,False,innov8tor3#3988,0xBCAD90F4a1ED4067d9bC33D4089FF18A82250253,acidlazzer#5796,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,bends#3537,0x1E975f53956d644868F3eA25690b1bbEda658565,21.33,0.0021900260893403327,8.187631537607768
621f79e243b89009366c8a40,2021-08-19T22:00:00.000Z,akrtws (TE Academy)#4246,621f79cf95a79aa51435b3c3,0x852B8763ECB27bEdDC190d1792029bc17FD5439a,iviangita#3204,621f79ce95a79aa51435b278,0xA3FcC4d905f381C5e9392207Bf7918ef01B1ba44,for taking the Governauts today from TE perspective and for the incredible work they do there,DISCORD:810180621930070088:810180622336262195,DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise,8,5,34,,,,False,False,False,eduardovegap#0422,0x1d921dff757610FbDB0073479e12c0a07d382677,Mount Manu#3530,0xa2ef65aEcecb83cd1bD3579A8669779099317952,Usua◎ Silver#2618,0x914C0E63F98a091e74b7c5e78993bB8de735aE74,15.67,0.001608893990621801,6.015011073338665
