index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
79,652d6fc2b58fa9e8aa9eeed4,2023-10-16T17:15:46.619000Z,bear100#9085,ygg_anderson#4998,For always being present and informed and ready to lead initiatives at TEC.,144,21,5.0,,,,False,False,False,jhennyart,r33pich33p,divine_comedian,56.6666666666667,139.0
74,652d6f65b58fa9e8aa9eeba5,2023-10-16T17:14:13.294000Z,bear100#9085,Isaac (enti)#1546,for keeping the whole team afloat,144,34,5.0,,,,False,False,False,jhennyart,r33pich33p,divine_comedian,61.0,139.0
88,652da6c7b58fa9e8aa9f893d,2023-10-16T21:10:31.192000Z,bear100#9085,"Griff (💜,💜)#8888",for reviewing the community events doc very thoroughly and offering thoughtful comments,144,13,8.0,,,,False,False,False,jhennyart,r33pich33p,divine_comedian,55.0,136.0
38,651afa57e9bf1ac498c2ec73,2023-10-02T17:13:59.154000Z,bear100#9085,JHennyArt#2106,For keeping up to date and in the loop with roles changes,144,8,8.0,,,,False,False,False,jhennyart,r33pich33p,divine_comedian,53.3333333333333,136.0
26,651af9cbe9bf1ac498c2e5da,2023-10-02T17:11:39.460000Z,natesuits#4789,ygg_anderson#4998,For coordinating the community call!,144,21,21.0,,651af949e9bf1ac498c2db34,651af949e9bf1ac498c2db34,False,False,False,jhennyart,maxwe11,divine_comedian,48.0,123.0
23,651af9b6e9bf1ac498c2e38e,2023-10-02T17:11:18.834000Z,natesuits#4789,bear100#9085,for coordinating the community call,144,21,21.0,,651af949e9bf1ac498c2db34,651af949e9bf1ac498c2db34,False,False,False,jhennyart,maxwe11,divine_comedian,48.0,123.0
67,652d6f01b58fa9e8aa9ee786,2023-10-16T17:12:33.267000Z,natesuits#4789,bear100#9085,"for coming up with great plans for the community events program, including the CC and the TE as PG series. Exciting!",144,21,34.0,,,,False,False,False,jhennyart,maxwe11,divine_comedian,66.3333333333333,123.0
30,651afa0de9bf1ac498c2e7ad,2023-10-02T17:12:45.179000Z,natesuits#4789,ygg_anderson#4998,For being such a well organized squad regarding the community call.,144,21,21.0,,651af949e9bf1ac498c2db34,651af949e9bf1ac498c2db34,False,False,False,jhennyart,maxwe11,divine_comedian,48.0,123.0
7,651af949e9bf1ac498c2db34,2023-10-02T17:09:29.233000Z,natesuits#4789,Isaac (enti)#1546,for organising the community call! Was really good,144,21,21.0,,,,False,False,False,jhennyart,maxwe11,divine_comedian,62.0,123.0
87,652da6a1b58fa9e8aa9f8877,2023-10-16T21:09:53.024000Z,natesuits#4789,"Griff (💜,💜)#8888",For creating incredible structure for our community events in this doc: https://docs.google.com/document/d/1qttkvfQJaevkqAEM5USVQl8NmA8xJCwDy-TimQBwcSQ/edit,144,21,34.0,,652d6f01b58fa9e8aa9ee786,652d6f01b58fa9e8aa9ee786,False,False,False,jhennyart,maxwe11,divine_comedian,48.0,123.0
