index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
82,63529a606a25cb799b40988c,2022-10-21T13:10:56.611Z,itsyaboi#2591,divine_comedian#5493,for completing the quantification introduction animated video! amazing animation and voice over work!,144,0,21,0,63529a286a25cb799b409876,,6349afba6a25cb799b40971e,,False,True,False,True,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,4.13,144
56,634e99046a25cb799b40975d,2022-10-18T12:16:04.565Z,pat.zip (TE Academy)#5266,stellaachenbach#2991,Best organizer at Devcon anyone could have wished for!,144,5,13,13,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,43.75,139
57,634e992c6a25cb799b40976c,2022-10-18T12:16:44.648Z,akrtws (TE Academy)#4246,stellaachenbach#2991,Best multitasking host at all of Devcon!,144,5,13,13,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,43.75,139
52,6349afba6a25cb799b40971e,2022-10-14T18:51:38.844Z,itsyaboi#2591,acidlazzer#5796,"for being an awesome element in the animation team and comms, he is a very talented dude and we are very grateful for having him in the team :)",144,8,21,8,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,45.25,136
0,6343eb556a25cb799b409497,2022-10-10T09:52:21.191Z,r-x-x#8344,kristofer#1475,for inventing the sliding scale rewards taxation scheme based on WG pay level. Implementing this would not only make the rewards budget last longer but also contribute to a more fair rewards system.,144,13,13,34,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,51.0,131
80,63529a286a25cb799b409876,2022-10-21T13:10:00.021Z,itsyaboi#2591,divine_comedian#5493,for their amazing work animating the quantification introduction video! it's finally done and it looks GREAT!,144,13,21,21,,,6349afba6a25cb799b40971e,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,45.02,131
46,634872406a25cb799b4096d4,2022-10-13T20:17:04.833Z,Juankbell#7458,BiancaGadelha#2667,for representing Gravity at Devcon 🌱,89,0,5,0,6345e21e6a25cb799b4095a7,,6345e21e6a25cb799b4095a7,,False,True,False,True,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,2.35,89
22,6345e21e6a25cb799b4095a7,2022-10-11T21:37:34.539Z,Juankbell#7458,BiancaGadelha#2667,represent Gravity at Devcon,89,8,5,13,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,28.75,84
50,634882ae6a25cb799b409708,2022-10-13T21:27:10.827Z,alantv#0964,itsyaboi#2591,achieving the quantification video milestone of finishing all the scenes needed to go to the next step in post production !,89,13,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,34.0,76
84,63529a616a25cb799b40989a,2022-10-21T13:10:57.407Z,miguelb#5176,divine_comedian#5493,for completing the quantification introduction animated video! amazing animation and voice over work!,89,21,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,36.0,76
83,63529a606a25cb799b409893,2022-10-21T13:10:56.953Z,acidlazzer#5796,divine_comedian#5493,for completing the quantification introduction animated video! amazing animation and voice over work!,89,21,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,36.0,76
25,6345e32c6a25cb799b4095d4,2022-10-11T21:42:04.243Z,durgadas#9280,BiancaGadelha#2667,for his work on creating the GravityDAO website,55,21,21,5,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,25.5,50
40,6348442c6a25cb799b40968a,2022-10-13T17:00:28.868Z,GideonRo#3175,acidlazzer#5796,"for always being there, find solutions about every aspect and being a big inspiration for me ❤️‍🩹",55,5,5,13,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,19.5,50
12,6345ac836a25cb799b409524,2022-10-11T17:48:51.360Z,acidlazzer#5796,Zeptimus#3359,for all the kind words for my offboarding as a steward. I got emotional. Rate them high quantifiers🪄 !!!,55,8,5,8,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,19.0,50
16,6345acf46a25cb799b409548,2022-10-11T17:50:44.899Z,Zeptimus#3359,acidlazzer#5796,"for all the amazing work he has being doing for TEC in all this time, you are a really inspiration for me and you helped me a lot to understand TEC and all the space with his wisdom",55,8,13,8,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,21.0,47
49,634882ae6a25cb799b409701,2022-10-13T21:27:10.196Z,acidlazzer#5796,itsyaboi#2591,achieving the quantification video milestone of finishing all the scenes needed to go to the next step in post production !,55,13,8,8,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,21.0,47
51,634882af6a25cb799b40970f,2022-10-13T21:27:11.056Z,miguelb#5176,itsyaboi#2591,achieving the quantification video milestone of finishing all the scenes needed to go to the next step in post production !,55,13,8,8,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,21.0,47
81,63529a5f6a25cb799b409885,2022-10-21T13:10:55.988Z,natesuits#4789,divine_comedian#5493,for completing the quantification introduction animated video! amazing animation and voice over work!,55,21,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,27.5,42
65,63500ff26a25cb799b4097dc,2022-10-19T14:55:46.732Z,lee0007#8152,kristofer#1475,for identifying a likely bug that occurs when reassigning quantifiers: https://github.com/commons-stack/praise/issues/642,34,5,21,34,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,23.5,29
62,634ed98c6a25cb799b4097b7,2022-10-18T16:51:24.146Z,durgadas#9280,BiancaGadelha#2667,for his work on Gravity’s website getting the Hosting is purchased,34,13,21,5,,,6345e32c6a25cb799b4095d4,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,13.53,29
9,6345ac0d6a25cb799b409507,2022-10-11T17:46:53.919Z,acidlazzer#5796,Zeptimus#3359,for carry comms in his shoulders for the last weeks🙌 ❤️,34,8,13,21,,,,6345aa986a25cb799b4094d4,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,14.28,26
3,634587ee6a25cb799b4094c5,2022-10-11T15:12:46.907Z,bdegraf#7201,GideonRo#3175,for doing additional rounds of data manipulation work in tuning our lists for Twitter network outreach. Super useful and much appreciated.,34,13,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,20.25,21
21,6345e2076a25cb799b409598,2022-10-11T21:37:11.263Z,Juankbell#7458,BiancaGadelha#2667,for taking the lead of outreach manager and case maneger in Gravity,3,5,13,21,,,,,False,False,False,False,divine_comedian#5493,Maxwe11#7157,osycross(🦎🦎)#5943,Mettodo#7010,10.5,18
